cohort,mouse,startbw,endbw,endday,growth
36,1,35.9,38.2,26,2.3
36,2,32.2,32.4,26,0.2
36,3,34.9,37.6,26,2.7
36,4,34.9,36.5,26,1.6
36,5,35.9,38.2,26,2.3
36,6,33.2,38.8,26,5.6
36,7,36.9,40,26,3.1
36,8,34.7,36.7,26,2
36,9,33.3,38.9,26,5.6
36,10,35.6,39.5,26,3.9
36,11,34.4,32.8,26,-1.6
36,12,33.2,35.8,26,2.6
37,1,34.1,34.4,23,0.3
37,2,33.2,35.4,23,2.2
37,3,33.9,36.1,23,2.2
37,4,33.1,36,23,2.9
37,5,31.8,33.4,23,1.6
37,6,36.8,37.5,23,0.7
37,7,33.1,33.9,23,0.8
37,8,35,35.3,23,0.3
37,9,32.5,32.3,23,-0.2
37,10,34,36.5,23,2.5
37,11,33.9,35.7,23,1.8
37,12,33.9,32.5,23,-1.4
38,1,34.4,35.8,24,1.4
38,2,33.8,33,24,-0.8
38,3,35.8,34.1,24,-1.7
38,4,34.5,37.9,24,3.4
38,5,32.1,31.8,24,-0.3
38,6,34.5,36.4,24,1.9
38,7,35.4,35.6,24,0.2
38,8,34.8,36.8,24,2
38,9,33.7,35,24,1.3
38,10,35.2,36.1,24,0.9
38,11,34.6,35.3,24,0.7
38,12,32.1,33.4,24,1.3
39,1,32.2,35.1,25,2.9
39,2,34.1,39.4,25,5.3
39,3,33,34.8,25,1.8
39,4,33.1,39.7,25,6.6
39,5,34.3,35.5,25,1.2
39,6,35.1,38,25,2.9
39,7,33,37.4,25,4.4
39,8,34.5,36.1,25,1.6
39,9,30.4,35.3,25,4.9
39,10,37.1,39.9,25,2.8
39,11,37.1,42.1,25,5
39,12,32.6,33.6,25,1
44,1,31.1,34.6,28,3.5
44,2,28.8,37.3,28,8.5
44,3,28.9,35.3,28,6.4
44,4,31,37.2,28,6.2
44,5,31,37.9,28,6.9
44,6,29.9,34.4,28,4.5
44,7,31,34.6,28,3.6
44,8,31.1,35.2,28,4.1
44,9,31.5,37.7,28,6.2
44,10,32.3,39.9,28,7.6
44,11,28.6,33.5,28,4.9
44,12,29.9,38.1,28,8.2
45,1,27.3,31.6,22,4.3
45,2,30,32.6,22,2.6
45,3,32.9,37.3,22,4.4
45,4,28.9,37.5,22,8.6
45,5,30.9,32.2,22,1.3
45,6,30.5,37.8,22,7.3
45,7,30.6,36.4,22,5.8
45,8,31.6,35.4,22,3.8
45,9,32.1,37.9,22,5.8
45,10,31.8,35.3,22,3.5
45,11,31,35.1,22,4.1
45,12,32.3,37.5,22,5.2
46,1,31.5,35.5,23,4
46,2,30.2,34.2,23,4
46,3,31.3,36.3,23,5
46,4,31.2,32.8,23,1.6
46,5,32.7,37.7,23,5
46,6,30.2,33.1,23,2.9
46,7,30.4,34.5,23,4.1
46,8,30.8,34.5,23,3.7
46,9,30.6,34.2,23,3.6
46,10,32.9,35.8,23,2.9
46,11,32.2,36.5,23,4.3
46,12,31.8,38.3,23,6.5
69,1,33.9,35.1,11,1.2
69,2,32.9,34.1,11,1.2
69,3,34,33.8,11,-0.2
69,4,37.1,39.7,11,2.6
69,5,34.8,36.6,11,1.8
69,6,33.8,38.5,11,4.7
69,7,34.8,36.3,11,1.5
69,8,32.8,37,11,4.2
69,9,34.2,35.9,11,1.7
69,10,35.9,40.4,11,4.5
69,11,36.1,38,11,1.9
69,12,33.7,35.8,11,2.1
80,1,37,40.4,11,3.4
80,2,36.4,34.7,11,-1.7
80,3,36.9,38.2,11,1.3
80,4,34.7,35.8,11,1.1
80,5,34.2,36,11,1.8
80,6,36.5,37.6,11,1.1
80,7,34.1,32.8,11,-1.3
80,8,31.3,29.9,11,-1.4
80,9,34.6,34.8,11,0.2
80,10,32.5,31.3,11,-1.2
80,11,33,32.8,11,-0.2
80,12,32.5,32.5,11,0
81,1,34.8,31.6,12,-3.2
81,2,34.8,34.6,12,-0.2
81,3,32.9,33.9,12,1
81,4,35.5,35.1,12,-0.4
81,5,36.3,35.8,12,-0.5
81,6,35.6,37.2,12,1.6
81,7,36,37.7,12,1.7
81,8,33.3,36.6,12,3.3
81,9,33.5,34,12,0.5
81,10,34.5,34.7,12,0.2
81,11,35.8,35.6,12,-0.2
81,12,32.7,34.2,12,1.5
83,1,36.2,38.9,18,2.7
83,2,33.7,36.4,18,2.7
83,3,34.6,40.2,18,5.6
83,4,35.7,38.6,18,2.9
83,5,33.58,36.6,18,3.02
83,6,36.3,38.8,18,2.5
83,7,32.2,37,18,4.8
83,8,38.2,41,18,2.8
83,9,35.8,38.2,18,2.4
83,10,35.2,38.1,18,2.9
83,11,36.6,38.5,18,1.9
83,12,37.4,36.6,18,-0.8
85,1,32.4,35.1,13,2.7
85,2,35.3,36.1,13,0.8
85,3,31.2,33.9,13,2.7
85,4,36.1,38.4,13,2.3
85,5,35.5,35.8,13,0.3
85,6,34.7,37.3,13,2.6
85,7,31.7,29.2,13,-2.5
85,8,32.6,32.5,13,-0.1
85,9,36.7,35.4,13,-1.3
85,10,35.9,33.9,13,-2
85,11,33.5,36.9,13,3.4
85,12,37.8,40.4,13,2.6
86,1,33,37,12,4
86,2,34.8,33.8,12,-1
86,3,36.9,37,12,0.1
86,4,28,28.8,12,0.8
86,5,36.4,35.5,12,-0.9
86,6,38.1,39.5,12,1.4
86,7,34.6,33.8,12,-0.8
86,8,35.7,35.5,12,-0.2
86,9,36.4,38.5,12,2.1
86,10,37.2,36.8,12,-0.4
86,11,33.5,32.8,12,-0.7
86,12,36.2,38,12,1.8
