"","Subject","Behavior","starttime","endtime"
"1","Mouse 5","Eat",1138.74,1143.12
"2","Mouse 5","Eat",1182.72,1194.38
"3","Mouse 6","Eat",1633.82,1644.6
"4","Mouse 6","Eat",1691.02,1696.04
"5","Mouse 5","Eat",1800.24,1804.5
"6","Mouse 5","Drink",1969.78,1973.22
"7","Mouse 9","Drink",2342.96,2344.8
"8","Mouse 9","Eat",2348.24,2349.94
"9","Mouse 9","Eat",2417.54,2462.08
"10","Mouse 9","Eat",2481.98,2485.34
"11","Mouse 5","Eat",2594.66,2599.54
"12","Mouse 4","Eat",2692.5,2704.52
"13","Mouse 10","Eat",2819.02,2820.66
"14","Mouse 8","Eat",2976.78,2995.3
"15","Mouse 11","Eat",3158.74,3177.26
"16","Mouse 1","Eat",3181.3,3184.34
"17","Mouse 11","Drink",3204.54,3225.94
"18","Mouse 1","Eat",3252.92,3265.1
"19","Mouse 6","Eat",3360.46,3389.1
"20","Mouse 1","Eat",3415.82,3423.3
"21","Mouse 6","Eat",3419.34,3435.58
"22","Mouse 1","Eat",3458.8,3461.32
"23","Mouse 2","Drink",3703.38,3708.02
"24","Mouse 2","Eat",3732.98,3734.68
"25","Mouse 2","Eat",3749.82,3752.06
"26","Mouse 9","Eat",3765.84,3787.64
"27","Mouse 2","Eat",3778.14,3841.14
"28","Mouse 2","Drink",3930.78,3933.98
"29","Mouse 2","Eat",3936.2,3939.04
"30","Mouse 2","Drink",3954.08,3961.92
"31","Mouse 2","Drink",3968.28,3974.22
"32","Mouse 2","Drink",4038.44,4046.24
"33","Mouse 4","Eat",4047.52,4065.08
"34","Mouse 5","Eat",4062.08,4113.1
"35","Mouse 11","Drink",4100.9,4106.4
"36","Mouse 11","Eat",4107.74,4111.82
"37","Mouse 2","Eat",4116.9,4118.96
"38","Mouse 1","Eat",4216.54,4259.62
"39","Mouse 1","Eat",4296.92,4300.58
"40","Mouse 11","Drink",4314.94,4335.52
"41","Mouse 2","Drink",4477.88,4479.64
"42","Mouse 4","Eat",4496.98,4505.54
"43","Mouse 10","Eat",4502.76,4506.3
"44","Mouse 10","Eat",4515.54,4536.94
"45","Mouse 1","Eat",4526.84,4601.96
"46","Mouse 12","Drink",4545.7,4549.38
