"","Subject","Behavior","starttime","endtime"
"1","Mouse 5","Eat",1921.4,1927.48
"2","Mouse 10","Eat",2428.52,2432.84
"3","Mouse 10","Drink",2454.96,2460.48
"4","Mouse 10","Eat",2516.6,2525.24
"5","Mouse 10","Eat",2535.6,2545.04
"6","Mouse 5","Eat",2544.84,2554.68
"7","Mouse 10","Eat",2565.8,2576.2
"8","Mouse 10","Eat",2618.12,2629.88
"9","Mouse 6","Eat",2762.48,2777.72
"10","Mouse 9","Eat",2783.44,2786.92
"11","Mouse 8","Eat",3046.4,3047.52
"12","Mouse 4","Eat",3117,3123.56
"13","Mouse 10","Eat",3157.16,3189.2
"14","Mouse 9","Eat",3249.88,3258.44
"15","Mouse 9","Eat",3272.68,3279.88
"16","Mouse 11","Drink",3343.2,3356.76
"17","Mouse 10","Eat",3438.72,3444.64
"18","Mouse 4","Eat",3467.32,3487.08
"19","Mouse 10","Eat",3471.16,3481.64
"20","Mouse 11","Eat",3488.36,3491.36
"21","Mouse 11","Eat",3592,3594.36
"22","Mouse 10","Eat",3699.24,3705.4
"23","Mouse 5","Eat",3748.44,3759.56
"24","Mouse 8","Drink",3751.48,3756.76
"25","Mouse 8","Eat",3760.76,3811.2
"26","Mouse 8","Eat",3864.76,3878.92
"27","Mouse 5","Eat",3933.04,3934.92
"28","Mouse 9","Eat",4006.24,4019.6
"29","Mouse 10","Eat",4008.04,4016.52
"30","Mouse 10","Eat",4019.64,4070.08
"31","Mouse 12","Eat",4075.88,4084.84
"32","Mouse 12","Drink",4102.84,4106.2
"33","Mouse 12","Eat",4115.64,4117.96
"34","Mouse 10","Eat",4204.52,4221.8
"35","Mouse 10","Drink",4213.72,4215.88
"36","Mouse 3","Eat",4259.76,4275.12
"37","Mouse 3","Drink",4264,4267.16
"38","Mouse 3","Eat",4292.84,4303.56
"39","Mouse 1","Eat",4300.2,4310.08
"40","Mouse 7","Eat",4303.96,4313.48
"41","Mouse 3","Eat",4351.8,4373.24
"42","Mouse 2","Eat",4354.16,4362.48
"43","Mouse 7","Eat",4373.16,4382.4
"44","Mouse 3","Eat",4395.92,4429.56
"45","Mouse 7","Eat",4425.96,4442
"46","Mouse 2","Eat",4435.16,4449.28
"47","Mouse 8","Eat",4739.88,4749.88
"48","Mouse 3","Drink",4842.56,4847.68
"49","Mouse 3","Eat",4848.88,4850.8
"50","Mouse 2","Drink",5012.28,5024
