"realtime","endtime","eating","drinking","cohort","day","mouse"
0,1,0,0,37,1,1
0,1,0,0,37,1,10
0,1,0,0,37,1,11
0,1,0,0,37,1,12
0,1,0,0,37,1,2
0,1,0,0,37,1,3
0,1,0,0,37,1,4
0,1,0,0,37,1,5
0,1,0,0,37,1,6
0,1,0,0,37,1,7
0,1,0,0,37,1,8
0,1,0,0,37,1,9
1,2,0,0,37,1,1
1,2,0,0,37,1,10
1,2,0,0,37,1,11
1,2,0,0,37,1,12
1,2,0,0,37,1,2
1,2,0,0,37,1,3
1,2,0,0,37,1,4
1,2,0,0,37,1,5
1,2,0,0,37,1,6
1,2,0,0,37,1,7
1,2,0,0,37,1,8
1,2,0,0,37,1,9
2,3,0,0,37,1,1
2,3,0,0,37,1,10
2,3,0,0,37,1,11
2,3,0,0,37,1,12
2,3,0,0,37,1,2
2,3,0,0,37,1,3
2,3,0,0,37,1,4
2,3,0,0,37,1,5
2,3,0,0,37,1,6
2,3,0,0,37,1,7
2,3,0,0,37,1,8
2,3,0,0,37,1,9
3,4,0,0,37,1,1
3,4,0,0,37,1,10
3,4,0,0,37,1,11
3,4,0,0,37,1,12
3,4,0,0,37,1,2
3,4,0,0,37,1,3
3,4,0,0,37,1,4
3,4,0,0,37,1,5
3,4,0,0,37,1,6
3,4,0,0,37,1,7
3,4,0,0,37,1,8
3,4,0,0,37,1,9
4,5,0,0,37,1,1
4,5,0,0,37,1,10
4,5,0,0,37,1,11
4,5,0,0,37,1,12
4,5,0,0,37,1,2
4,5,0,0,37,1,3
4,5,0,0,37,1,4
4,5,0,0,37,1,5
4,5,0,0,37,1,6
4,5,0,0,37,1,7
4,5,0,0,37,1,8
4,5,0,0,37,1,9
5,6,0,0,37,1,1
5,6,0,0,37,1,10
5,6,0,0,37,1,11
5,6,0,0,37,1,12
5,6,0,0,37,1,2
5,6,0,0,37,1,3
5,6,0,0,37,1,4
5,6,0,0,37,1,5
5,6,0,0,37,1,6
5,6,0,0,37,1,7
5,6,0,0,37,1,8
5,6,0,0,37,1,9
6,7,0,0,37,1,1
6,7,0,0,37,1,10
6,7,0,0,37,1,11
6,7,0,0,37,1,12
6,7,0,0,37,1,2
6,7,0,0,37,1,3
6,7,0,0,37,1,4
6,7,0,0,37,1,5
6,7,0,0,37,1,6
6,7,0,0,37,1,7
6,7,0,0,37,1,8
6,7,0,0,37,1,9
7,8,0,0,37,1,1
7,8,0,0,37,1,10
7,8,0,0,37,1,11
7,8,0,0,37,1,12
7,8,0,0,37,1,2
7,8,0,0,37,1,3
7,8,0,0,37,1,4
7,8,0,0,37,1,5
7,8,0,0,37,1,6
7,8,0,0,37,1,7
7,8,0,0,37,1,8
7,8,0,0,37,1,9
8,9,0,0,37,1,1
8,9,0,0,37,1,10
8,9,0,0,37,1,11
8,9,0,0,37,1,12
8,9,0,0,37,1,2
8,9,0,0,37,1,3
8,9,0,0,37,1,4
8,9,0,0,37,1,5
8,9,0,0,37,1,6
8,9,0,0,37,1,7
8,9,0,0,37,1,8
8,9,0,0,37,1,9
9,10,0,0,37,1,1
9,10,0,0,37,1,10
9,10,0,0,37,1,11
9,10,0,0,37,1,12
9,10,0,0,37,1,2
9,10,0,0,37,1,3
9,10,0,0,37,1,4
9,10,0,0,37,1,5
9,10,0,0,37,1,6
9,10,0,0,37,1,7
9,10,0,0,37,1,8
