Timestamp,Actor,Behavior,Recipient,Location,Observer,Comment,Outside assigned observation time
8/17/2015 13:00:04,Start,Start,Start,Start,WL,,
8/17/2015 13:25:18,11,Subordinate,3,NB1,WL,,
8/17/2015 13:40:41,2,Mounting,9,UR,WL,,
8/17/2015 13:41:20,2,"Fighting, Chasing",9,UR,WL,,
8/17/2015 13:43:29,11,Subordinate,8,MR,WL,,
8/17/2015 13:44:44,2,"Fighting, Chasing",9,UR,WL,,
8/17/2015 13:50:32,11,"Fighting, Chasing",7,MR,WL,,
8/17/2015 13:59:57,11,Subordinate,6,LL,WL,,
8/17/2015 14:00:15,End,End,End,End,WL,,
8/17/2015 14:00:55,Start,Start,Start,Start,BN,,
8/17/2015 14:26:33,11,Fighting,3,NB2,BN,,
8/17/2015 14:29:33,11,Subordinate,10,LL,BN,,
8/17/2015 15:00:26,End,End,End,End,BN,,
8/18/2015 12:01:40,12,Mounting,6,NB3,WL,,Yes
8/18/2015 11:58:54,Start,Start,Start,Start,WL,,
8/18/2015 11:59:19,8,"Fighting, Chasing",3,LL,WL,,
8/18/2015 12:02:37,8,Chasing,6,LR,WL,,
8/18/2015 12:03:31,8,"Fighting, Chasing",6,NB3,WL,,
8/18/2015 12:03:56,8,"Fighting, Chasing",6,LL,WL,,
8/18/2015 12:06:25,8,Induce-flee,11,LL,WL,,
8/18/2015 12:06:12,8,"Fighting, Chasing","9, 12",LL,WL,,
8/18/2015 12:09:08,8,"Fighting, Chasing",10,LL,WL,,
8/18/2015 12:10:42,8,Chasing,3,UL,WL,sniffing then chasing,
8/18/2015 12:11:05,8,Chasing,10,UL,WL,sniffing then chasing,
8/18/2015 12:12:15,8,"Fighting, Chasing","5, 12",LL,WL,,
8/18/2015 12:13:36,8,"Fighting, Chasing",3,NB1,WL,,
8/18/2015 12:13:48,8,Fighting,10,NB3,WL,,
8/18/2015 12:14:00,8,Fighting,3,NB3,WL,,
8/18/2015 12:16:49,8,Chasing,6,ML,WL,,
8/18/2015 12:18:01,8,Chasing,5,LL,WL,,
8/18/2015 12:19:07,8,Chasing,7,UR,WL,,
8/18/2015 12:23:37,8,"Fighting, Chasing",6,MR,WL,,
8/18/2015 12:23:01,8,Chasing,11,LL,WL,,
8/18/2015 12:27:09,8,"Fighting, Chasing",5,LR,WL,,
8/18/2015 12:29:22,8,Chasing,"7, 11",LL,WL,,
8/18/2015 12:28:53,8,Chasing,11,LR,WL,,
8/18/2015 12:30:31,8,Induce-flee,11,LL,WL,11 jumpy,
8/18/2015 12:30:18,8,Chasing,9,LL,WL,11 jumpy,
8/18/2015 12:31:31,8,"Fighting, Chasing",11,NB1,WL,excessive startle,
8/18/2015 12:50:44,8,Induce-flee,11,LR,WL,,
8/18/2015 12:51:34,4,Subordinate,11,UR,WL,11...weird. keep eyes on him,
8/18/2015 13:29:06,8,"Chasing, Subordinate",3,"UL, UR",BN,,
8/18/2015 12:54:18,8,Chasing,7,MR,WL,,
8/18/2015 13:00:25,End,End,End,End,WL,,
8/18/2015 13:00:45,Start,Start,Start,Start,BN,,
8/18/2015 13:13:21,8,Fighting,12,"LL, LR",BN,,
8/18/2015 13:15:17,8,Fighting,11,LR,BN,,
8/18/2015 13:15:58,8,Fighting,5,NB1,BN,,
8/18/2015 13:17:52,12,Fighting,3,"LR, NB3",BN,,
8/18/2015 13:19:24,8,"Fighting, Subordinate",5,UR,BN,,
8/18/2015 13:19:58,7,Fighting,1,UR,BN,overlapping with prior fight,
8/18/2015 13:20:35,9,Subordinate,11,LR,BN,,
8/18/2015 13:21:13,12,Subordinate,11,LR,BN,,
8/18/2015 13:22:09,8,Fighting,9,NB3,BN,,
8/18/2015 13:24:38,12,Subordinate,4,NB2,BN,,
8/18/2015 13:24:56,12,Fighting,1,NB1,BN,,
8/18/2015 13:26:20,12,Fighting,5,NB5,BN,,
8/18/2015 13:26:51,12,Mounting,10,NB1,BN,,
8/18/2015 13:27:32,8,Fighting,"2, 11","LL, LR",BN,,
8/18/2015 13:28:30,12,Mounting,4,NB1,BN,,
8/18/2015 13:31:44,8,"Chasing, Subordinate",9,LL,BN,,
8/18/2015 13:32:59,8,"Fighting, Chasing",6,LR,BN,,
8/18/2015 13:33:29,8,Fighting,1,LL,BN,,
8/18/2015 13:33:56,8,Induce-flee,3,LL,BN,,
8/18/2015 13:36:06,8,Subordinate,1,UL,BN,,
8/18/2015 13:41:32,8,"Fighting, Chasing",11,"UL, LL",BN,,
8/18/2015 13:45:44,8,Fighting,1,LL,BN,,
8/18/2015 13:45:30,8,"Fighting, Chasing, Subordinate",7,"LL, LR",BN,,
8/18/2015 13:51:01,12,Subordinate,11,LL,BN,,
8/18/2015 14:00:20,End,End,End,End,BN,,
8/19/2015 13:01:32,Start,Start,Start,Start,BN,,
8/19/2015 13:16:32,11,Fighting,10,UR,BN,,
8/19/2015 13:18:01,11,Fighting,4,UL,BN,,
8/19/2015 13:18:32,11,"Fighting, Chasing",7,UL,BN,,
8/19/2015 13:21:00,8,Chasing,7,LR,BN,,
8/19/2015 13:22:43,8,"Fighting, Chasing",11,"LL, LR",BN,,
8/19/2015 13:32:03,8,Fighting,4,UR,BN,,
8/19/2015 13:32:27,11,Fighting,1,UL,BN,,
8/19/2015 13:33:49,8,Induce-flee,11,UR,BN,,
8/19/2015 13:37:33,8,Subordinate,1,UR,BN,,
8/19/2015 13:42:08,8,Chasing,11,"LL, LR",BN,,
8/19/2015 13:42:37,8,Chasing,11,LR,BN,,
8/19/2015 13:49:18,8,Induce-flee,11,LR,BN,,
8/19/2015 13:49:42,8,"Fighting, Chasing",11,LL,BN,,
8/19/2015 13:53:02,8,"Fighting, Chasing",11,LR,BN,,
8/19/2015 13:56:11,8,"Fighting, Chasing",11,"LL, LR",BN,,
8/19/2015 13:57:14,8,"Fighting, Chasing",11,"LL, LR",BN,,
8/19/2015 13:57:46,8,Subordinate,1,ML,BN,,
8/19/2015 14:00:07,8,Subordinate,7,UL,BN,,
8/19/2015 14:00:23,End,End,End,End,BN,,
8/20/2015 14:01:23,Start,Start,Start,Start,WL,,
8/20/2015 14:02:43,8,"Fighting, Chasing",2,UL,WL,,
8/20/2015 14:03:09,8,Chasing,11,LR,WL,,
8/20/2015 14:04:51,8,Chasing,11,LR,WL,,
8/20/2015 14:05:02,8,Chasing,5,LL,WL,,
8/20/2015 14:05:36,8,Induce-flee,7,LR,WL,,
8/20/2015 14:07:25,8,Chasing,11,MR,WL,,
8/20/2015 14:15:41,8,Subordinate,3,NB3,WL,,
8/20/2015 14:16:03,8,Fighting,10,NB3,WL,,
8/20/2015 14:16:13,8,"Fighting, Chasing",10,LL,WL,,
8/20/2015 14:17:59,11,Chasing,5,LR,WL,,
8/20/2015 14:18:56,8,Chasing,11,LR,WL,,
8/20/2015 14:21:10,2,"Fighting, Chasing",10,MR,WL,7 sniffed almost chased 1,
8/20/2015 14:22:37,7,"Fighting, Chasing, Mounting",10,UL,WL,,
8/20/2015 14:23:31,8,"Fighting, Chasing, Mounting",3,UR,WL,,
8/20/2015 14:24:47,8,Chasing,4,NB3,WL,,
8/20/2015 14:25:38,8,Subordinate,6,NB5,WL,,
8/20/2015 14:28:04,8,Chasing,11,NB5,WL,,
8/20/2015 14:28:21,7,"Fighting, Chasing",3,NB2,WL,,
8/20/2015 14:31:00,11,Subordinate,12,ML,WL,,
8/20/2015 14:32:29,8,"Fighting, Chasing",11,ML,WL,,
8/20/2015 14:33:04,8,Induce-flee,5,ML,WL,,
8/20/2015 14:36:55,8,"Chasing, Subordinate",4,LL,WL,,
8/20/2015 14:37:36,8,Fighting,3,ML,WL,,
