"Timestamp","Actor","Behavior","Recipient","Location","Observer","Comment"
"8/17/2015 12:04:09","2","Fighting","4","NB5","WL",""
"8/17/2015 12:05:19","2","Fighting","12","NB5","WL",""
"8/17/2015 12:05:57","2","Fighting","11","NB5","WL",""
"8/17/2015 12:06:45","9","Fighting","11","NB1","WL",""
"8/17/2015 12:10:38","2, 11","Fighting","2, 11","NB5","WL",""
"8/17/2015 12:10:50","2","Subordinate","10","NB5","WL",""
"8/17/2015 12:50:24","2","Fighting","5","NB3","WL",""
"8/17/2015 12:54:22","12","Chasing","5","LR","WL",""
"8/17/2015 12:59:49","End","End","End","End","WL",""
"8/17/2015 13:00:04","Start","Start","Start","Start","BN",""
"8/17/2015 13:02:00","12","Subordinate","5","LL","BN",""
"8/17/2015 13:38:07","12","Fighting","4","LL","BN",""
"8/17/2015 13:38:18","4","Fighting","6","LL","BN",""
"8/17/2015 13:40:02","5","Mounting","6","UL","BN",""
"8/17/2015 13:40:19","12","Mounting","6","UL","BN",""
"8/17/2015 13:47:52","5","Fighting","4","NB2","BN",""
"8/17/2015 13:48:53","11","Subordinate","1","NB5","BN",""
"8/17/2015 13:53:03","12","Fighting","6","LL","BN",""
"8/17/2015 13:59:10","2","Fighting","6","LR","BN",""
"8/17/2015 13:59:34","2","Fighting","6","LL","BN",""
"8/17/2015 14:00:08","4","Subordinate","3","UR","BN",""
"8/17/2015 14:00:25","11","Subordinate","6","LR","BN",""
"8/18/2015 13:28:37","2","Fighting","10","UR","WL",""
"8/18/2015 13:00:50","Start","Start","Start","Start","WL",""
"8/18/2015 13:02:08","2","Chasing","1","UL","WL",""
"8/18/2015 13:02:16","2","Fighting, Chasing","1","NB1","WL",""
"8/18/2015 13:05:54","2","Fighting, Chasing","3, 11","UL","WL",""
"8/18/2015 13:06:51","2","Fighting, Chasing","8","UL","WL",""
"8/18/2015 13:08:02","2","Fighting, Chasing, Subordinate","6","ML","WL","Subordinate then attack, very persistent attack"
"8/18/2015 13:09:20","2","Fighting, Chasing","1","UR","WL",""
"8/18/2015 13:09:50","2","Fighting","4","NB4","WL",""
"8/18/2015 13:10:54","2","Fighting","4","NB1","WL",""
"8/18/2015 13:27:45","2","Fighting","3","UL","WL",""
"8/18/2015 13:28:04","2","Fighting, Chasing, Subordinate","9","UL","WL",""
"8/18/2015 13:28:48","2","Fighting, Chasing","7","UL","WL",""
"8/18/2015 13:31:23","2","Fighting, Chasing","4, 11","UL","WL",""
"8/18/2015 13:32:48","2","Chasing","11","LR","WL",""
"8/18/2015 13:35:17","2","Fighting, Chasing","5","UL","WL",""
"8/18/2015 13:38:27","2","Chasing","3","UL","WL",""
"8/18/2015 13:39:10","2","Chasing","11","LL","WL","11 jumpy"
"8/18/2015 13:45:48","11","Subordinate","4","NB4","WL","NB4 is their haven"
"8/18/2015 13:48:00","2","Fighting, Chasing","7","ML","WL",""
"8/18/2015 13:48:49","2","Fighting, Chasing","11","UL","WL",""
"8/18/2015 13:51:34","2","Fighting, Chasing","6","NB3","WL",""
"8/18/2015 14:00:26","End","End","End","End","WL",""
"8/18/2015 14:00:47","Start","Start","Start","Start","BN",""
"8/18/2015 14:16:03","2","Fighting","3, 6","UL","BN",""
"8/18/2015 14:16:37","2","Fighting, Chasing","11","ML","BN",""
"8/18/2015 14:29:51","2","Chasing","8","UL","BN",""
"8/18/2015 14:56:53","2","Chasing","6","LL","BN",""
"8/18/2015 14:57:05","2","Fighting","11","NB1","BN",""
"8/18/2015 14:57:33","2","Fighting","11","UL","BN",""
