Timestamp,Actor,Behavior,Recipient,Location,Observer,Outside assigned observation time
8/17/2015 12:04:00,2,Fighting,4,NB5,WL,
8/17/2015 12:05:00,2,Fighting,12,NB5,WL,
8/17/2015 12:05:00,2,Fighting,11,NB5,WL,
8/17/2015 12:06:00,9,Fighting,11,NB1,WL,
8/17/2015 12:10:00,"2, 11",Fighting,"2, 11",NB5,WL,
8/17/2015 12:10:00,2,Subordinate,10,NB5,WL,
8/17/2015 12:50:00,2,Fighting,5,NB3,WL,
8/17/2015 12:54:00,12,Chasing,5,LR,WL,
8/17/2015 13:02:00,12,Subordinate,5,LL,BN,
8/17/2015 13:38:00,12,Fighting,4,LL,BN,
8/17/2015 13:38:00,4,Fighting,6,LL,BN,
8/17/2015 13:40:00,5,Mounting,6,UL,BN,
8/17/2015 13:40:00,12,Mounting,6,UL,BN,
8/17/2015 13:47:00,5,Fighting,4,NB2,BN,
8/17/2015 13:48:00,11,Subordinate,1,NB5,BN,
8/17/2015 13:53:00,12,Fighting,6,LL,BN,
8/17/2015 13:59:00,2,Fighting,6,LR,BN,
8/17/2015 13:59:00,2,Fighting,6,LL,BN,
8/17/2015 14:00:00,4,Subordinate,3,UR,BN,
8/17/2015 14:00:00,11,Subordinate,6,LR,BN,
8/18/2015 13:28:00,2,Fighting,10,UR,WL,
8/18/2015 13:02:00,2,Chasing,1,UL,WL,
8/18/2015 13:02:00,2,"Fighting, Chasing",1,NB1,WL,
8/18/2015 13:05:00,2,"Fighting, Chasing","3, 11",UL,WL,
8/18/2015 13:06:00,2,"Fighting, Chasing",8,UL,WL,
8/18/2015 13:08:00,2,"Fighting, Chasing, Subordinate",6,ML,WL,
8/18/2015 13:09:00,2,"Fighting, Chasing",1,UR,WL,
8/18/2015 13:09:00,2,Fighting,4,NB4,WL,
8/18/2015 13:10:00,2,Fighting,4,NB1,WL,
8/18/2015 13:27:00,2,Fighting,3,UL,WL,
8/18/2015 13:28:00,2,"Fighting, Chasing, Subordinate",9,UL,WL,
8/18/2015 13:28:00,2,"Fighting, Chasing",7,UL,WL,
8/18/2015 13:31:00,2,"Fighting, Chasing","4, 11",UL,WL,
8/18/2015 13:32:00,2,Chasing,11,LR,WL,
8/18/2015 13:35:00,2,"Fighting, Chasing",5,UL,WL,
8/18/2015 13:38:00,2,Chasing,3,UL,WL,
8/18/2015 13:39:00,2,Chasing,11,LL,WL,
