Timestamp,Actor,Behavior,Recipient,Location,Observer
10/8/2015 12:02:00,"6, 8",Fighting,"6, 8",NB1,KB
10/8/2015 12:03:00,1,Fighting,6,NB4,KB
10/8/2015 12:04:00,1,Fighting,2,NB5,KB
10/8/2015 12:07:00,1,Fighting,11,NB5,KB
10/8/2015 12:12:00,6,Fighting,8,NB4,KB
10/8/2015 12:23:00,7,Fighting,6,NB4,KB
10/8/2015 12:42:00,7,Fighting,10,UL,KB
10/8/2015 12:50:00,"7, 10",Fighting,"7, 10",MR,KB
10/8/2015 13:07:00,"7, 10",Fighting,"7, 10",UR,KB
10/8/2015 13:49:00,10,Fighting,"1, 4",LL,KB
10/9/2015 12:17:00,10,"Fighting, Chasing",12,"UL, ML, LL",HD
10/9/2015 12:19:00,10,Mounting,7,UL,HD
10/9/2015 12:20:00,10,Fighting,2,UR,HD
10/9/2015 12:24:00,10,Chasing,12,"ML, LL, NB2",HD
10/9/2015 12:25:00,10,Chasing,8,"LL, LR",HD
10/9/2015 12:27:00,10,Chasing,11,"NB4, NB5",HD
10/9/2015 12:31:00,10,Chasing,9,"UL, UR",HD
10/9/2015 12:33:00,10,"Fighting, Chasing",2,"UL, ML, LL",HD
10/9/2015 12:36:00,10,Fighting,1,LR,HD
10/9/2015 12:42:00,10,Mounting,6,LR,HD
10/9/2015 12:52:00,10,Fighting,8,LR,HD
10/9/2015 13:09:00,10,Chasing,9,"LL, LR",HD
10/9/2015 13:32:00,10,"Fighting, Chasing",2,"LL, LR",HD
10/10/2015 14:18:00,5,Fighting,3,LR,BN
10/10/2015 14:32:00,8,Fighting,2,LR,BN
10/10/2015 14:33:00,2,Fighting,"1, 6",LR,BN
10/10/2015 14:38:00,3,Fighting,2,LL,BN
10/10/2015 14:47:00,2,Chasing,6,"LL, LR",BN
10/10/2015 14:48:00,10,Fighting,2,LR,BN
10/10/2015 14:57:00,10,Fighting,6,UL,BN
10/10/2015 14:59:00,10,Fighting,9,UR,BN
