Timestamp,Actor,Behavior,Recipient,Location,Observer,Comment,Outside assigned observation time
7/13/2016 12:05:15,Start,Start,Start,Start,GR,,
7/13/2016 12:07:57,12,Fighting,4,NB5,GR,,
7/13/2016 12:08:29,4,Fighting,6,NB4,GR,,
7/13/2016 12:11:40,4,Chasing,3,LL,GR,,
7/13/2016 12:16:36,12,Fighting,4,NB4,GR,,
7/13/2016 12:27:54,12,"Fighting, Chasing",8,LR,GR,,
7/13/2016 12:28:58,12,"Fighting, Chasing",1,LR,GR,,
7/13/2016 12:29:20,12,Induce-flee,6,LL,GR,,
7/13/2016 12:30:02,12,"Fighting, Chasing, Subordinate",10,LR,GR,,
7/13/2016 12:44:07,2,"Chasing, Induce-flee",7,ML,GR,,
7/13/2016 12:46:40,10,Chasing,11,LR,GR,,
7/13/2016 13:06:43,End,End,End,End,GR,,
7/13/2016 13:06:54,Start,Start,Start,Start,GR,,
7/13/2016 13:09:51,12,"Fighting, Chasing",10,ML,GR,,
7/13/2016 13:10:12,12,"Fighting, Subordinate",3,UR,GR,,
7/13/2016 13:14:01,3,Fighting,"4, 12",MR,GR,,
7/13/2016 13:18:28,5,"Chasing, Induce-flee",6,LR,GR,,
7/13/2016 13:35:33,5,Fighting,12,UR,GR,,
7/13/2016 13:43:52,12,Fighting,10,UL,GR,,
7/13/2016 13:47:45,3,Fighting,2,UR,GR,,
7/13/2016 13:48:52,12,Fighting,3,UL,GR,,
7/13/2016 13:51:19,3,Fighting,5,UL,GR,,
7/13/2016 13:52:54,5,"Fighting, Chasing",9,UL,GR,,
7/13/2016 13:58:55,12,"Fighting, Chasing",10,MR,GR,"The last observation I put 4, but it was 9",
7/13/2016 14:01:29,12,"Fighting, Chasing",4,NB4,GR,,
7/13/2016 14:04:23,12,"Fighting, Chasing",2,MR,GR,,
7/13/2016 14:05:05,End,End,End,End,GR,,
7/14/2016 12:01:26,Start,Start,Start,Start,KB,,
7/14/2016 12:03:21,3,"Fighting, Chasing",5,MR,KB,,
7/14/2016 12:03:53,3,Chasing,4,UR,KB,,
7/14/2016 12:06:15,7,Chasing,10,LL,KB,,
7/14/2016 12:09:51,3,"Fighting, Chasing",7,MR,KB,,
7/14/2016 12:16:36,3,"Fighting, Chasing",4,MR,KB,,
7/14/2016 12:23:50,3,Fighting,6,UL,KB,,
7/14/2016 12:50:22,6,"Fighting, Chasing",10,UL,KB,,
7/14/2016 12:54:22,6,Fighting,4,ML,KB,Brief ,
7/14/2016 13:00:31,End,End,End,End,KB,End of first hour,
7/14/2016 13:00:52,Start,Start,Start,Start,KB,Start of second hour,
7/14/2016 13:03:23,3,"Fighting, Chasing",6,UL,KB,,
7/14/2016 13:15:09,3,Chasing,6,MR,KB,,
7/14/2016 13:58:14,7,Chasing,11,ML,KB,,
7/14/2016 14:00:23,End,End,End,End,KB,,
7/15/2016 12:00:56,Start,Start,Start,Start,HD,,
7/15/2016 12:10:51,3,Chasing,7,LR,HD,,
7/15/2016 12:17:23,3,Chasing,8,LR,HD,,
7/15/2016 12:17:51,3,"Fighting, Chasing",8,UL,HD,,
7/15/2016 12:18:19,3,Chasing,7,NB1,HD,,
7/15/2016 12:27:40,3,Chasing,4,UL,HD,,
7/15/2016 12:30:54,3,Chasing,4,UL,HD,,
7/15/2016 12:39:43,3,Fighting,11,NB1,HD,,
7/15/2016 12:40:28,3,Fighting,10,NB1,HD,,
7/15/2016 12:41:09,3,Chasing,1,LL,HD,,
7/15/2016 12:43:10,3,Chasing,5,LR,HD,,
7/15/2016 12:43:43,3,Chasing,11,MR,HD,,
7/15/2016 12:44:05,3,Chasing,4,ML,HD,,
7/15/2016 12:46:30,3,Chasing,11,UL,HD,,
7/15/2016 12:49:07,3,Chasing,5,LL,HD,,
7/15/2016 12:51:04,3,Chasing,4,UL,HD,,
7/15/2016 12:54:13,3,"Fighting, Chasing",4,UL,HD,,
7/15/2016 13:00:21,End,End,End,End,HD,,
7/15/2016 13:00:34,Start,Start,Start,Start,HD,,
7/15/2016 13:05:26,3,Chasing,2,UR,HD,,
7/15/2016 13:22:09,3,Chasing,11,MR,HD,,
7/15/2016 13:28:02,3,Chasing,10,UR,HD,,
7/15/2016 13:29:26,3,Chasing,12,LL,HD,,
7/15/2016 13:41:13,3,Chasing,11,MR,HD,,
7/15/2016 13:46:14,3,Chasing,11,UL,HD,,
7/15/2016 13:49:26,3,"Fighting, Chasing",11,LL,HD,,
7/15/2016 13:53:05,3,Chasing,6,UR,HD,,
7/15/2016 13:55:47,3,Chasing,7,UR,HD,,
7/15/2016 13:59:52,End,End,End,End,HD,,
7/16/2016 16:39:06,10,Chasing,5,NB4,MD,,
7/16/2016 16:41:23,3,Chasing,8,ML,MD,,
7/16/2016 16:42:55,6,Chasing,8,LL,MD,,
7/16/2016 16:47:51,3,Chasing,5,UL,MD,,
7/16/2016 16:55:07,3,"Fighting, Chasing",8,LR,MD,,
7/16/2016 16:59:50,7,"Fighting, Chasing",3,ML,MD,,
7/16/2016 17:00:27,5,"Fighting, Chasing",7,ML,MD,,
7/16/2016 17:02:49,6,Chasing,9,MR,MD,,
7/16/2016 17:04:50,3,Chasing,4,UR,MD,,
7/16/2016 17:07:43,3,"Fighting, Chasing",1,UL,MD,,
7/16/2016 17:22:02,3,"Fighting, Chasing",7,MR,MD,,
7/16/2016 17:22:42,3,"Fighting, Chasing",4,LL,MD,,
7/16/2016 17:24:12,6,Chasing,12,MR,MD,,
7/16/2016 17:25:08,3,"Fighting, Chasing",7,UL,MD,,
7/17/2016 13:02:33,Start,Start,Start,Start,TN,,
7/17/2016 13:07:21,3,Chasing,10,UR,TN,,
7/17/2016 13:08:23,3,Chasing,6,UR,TN,,
7/17/2016 13:09:08,3,Chasing,6,UL,TN,,
7/17/2016 13:11:54,3,Chasing,10,NB3,TN,,
7/17/2016 13:13:58,3,Chasing,1,LL,TN,,
7/17/2016 13:16:52,1,Chasing,11,NB3,TN,,
7/17/2016 13:17:28,3,Chasing,4,LL,TN,,
7/17/2016 13:20:51,4,Chasing,10,NB3,TN,,
7/17/2016 13:27:38,4,Fighting,2,NB4,TN,,
7/17/2016 13:30:26,6,Chasing,2,LR,TN,,
7/17/2016 13:33:15,5,Chasing,2,LR,TN,,
7/17/2016 13:39:57,3,Fighting,6,NB5,TN,,
7/17/2016 13:44:41,3,Chasing,4,ML,TN,,
7/17/2016 13:45:32,5,Fighting,12,NB1,TN,,
7/17/2016 13:46:23,4,Chasing,12,UR,TN,,
7/17/2016 13:46:31,3,Chasing,4,UL,TN,,
7/17/2016 13:49:45,3,Chasing,4,LR,TN,,
7/17/2016 13:50:27,3,Fighting,2,NB1,TN,,
7/17/2016 13:53:15,3,Chasing,12,LR,TN,,
7/17/2016 14:00:33,End,End,End,End,TN,,
7/17/2016 18:21:13,9,Fighting,8,LR,WL,,Yes
7/18/2016 12:31:39,Start,Start,Start,Start,HD,,
7/18/2016 12:36:34,5,Chasing,11,NB1,HD,,
7/18/2016 12:38:45,7,"Fighting, Chasing",6,NB5,HD,,
7/18/2016 12:44:24,3,Chasing,4,LL,HD,,
7/18/2016 12:49:45,3,Chasing,6,MR,HD,,
