Timestamp,Actor,Behavior,Recipient,Location,Observer,Comment,Outside assigned observation time,Error
11/29/2016 12:00:00,Start,Start,Start,Start,WL,,,
11/29/2016 12:03:00,Start,Start,Start,Start,WL,,,
11/29/2016 12:06:00,"8, 11",Fighting,"8, 11",LR,WL,,,
11/29/2016 12:07:00,"8, 11",Fighting,"8, 11",LL,WL,,,
11/29/2016 12:08:00,8,Fighting,7,LL,WL,,,
11/29/2016 12:16:00,2,Fighting,6,ML,WL,,,
11/29/2016 12:16:00,2,Fighting,10,ML,WL,,,
11/29/2016 12:17:00,2,Fighting,11,MR,WL,,,
11/29/2016 12:19:00,2,Fighting,12,LR,WL,,,
11/29/2016 12:20:00,2,Chasing,8,LL,WL,8 showed subordinate,,
11/29/2016 12:20:00,2,Fighting,6,LR,WL,,,
11/29/2016 12:20:00,2,Chasing,6,LL,WL,,,
11/29/2016 12:22:00,2,Fighting,12,LR,WL,2 is actively searching for victims,,
11/29/2016 12:22:00,2,Fighting,12,LR,WL,,,
11/29/2016 12:23:00,2,"Fighting, Chasing",8,LL,WL,,,
11/29/2016 12:23:00,2,Fighting,9,LR,WL,,,
11/29/2016 12:24:00,2,"Chasing, Mounting",4,LR,WL,,,
11/29/2016 12:25:00,2,Fighting,1,LL,WL,,,
11/29/2016 12:26:00,2,"Chasing, Mounting",4,LL,WL,Aggressive grooming too,,
11/29/2016 12:26:00,2,Fighting,12,ML,WL,,,
11/29/2016 12:27:00,2,"Fighting, Mounting",3,ML,WL,,,
11/29/2016 12:28:00,2,Fighting,6,ML,WL,2 attqcked despite 6's suv. Pose,,
11/29/2016 12:28:00,2,Fighting,12,UL,WL,,,
11/29/2016 12:29:00,2,Fighting,9,UL,WL,,,
11/29/2016 12:31:00,11,Fighting,4,UR,WL,,,
11/29/2016 12:40:00,11,Subordinate,12,UL,WL,Agg. Sniffing,,
11/29/2016 12:41:00,4,Fighting,10,NB5,WL,,,
11/29/2016 12:51:00,2,Fighting,10,NB3,WL,This group is more of explorers than aggressors on the first day.,,
11/29/2016 12:51:00,2,Fighting,1,NB3,WL,,,
11/29/2016 12:55:00,2,Fighting,1,NB4,WL,,,
11/29/2016 12:56:00,2,Fighting,12,NB4,WL,,,
11/29/2016 12:57:00,2,Fighting,10,NB4,WL,,,
11/29/2016 12:58:00,2,Fighting,9,NB4,WL,,,
11/29/2016 13:00:00,2,Fighting,12,NB5,WL,,,
11/29/2016 13:01:00,4,Subordinate,8,UR,WL,,,
11/29/2016 13:02:00,2,Fighting,9,NB5,WL,,,
11/29/2016 13:02:00,2,Subordinate,12,NB5,WL,,,
11/29/2016 13:03:00,2,Fighting,9,NB1,WL,,,
11/29/2016 13:04:00,2,Fighting,9,NB4,WL,,,
11/29/2016 13:04:00,2,Subordinate,9,NB3,WL,,,
11/29/2016 13:06:00,4,Subordinate,9,MR,WL,,,
11/29/2016 13:08:00,2,Fighting,6,NB5,WL,,,
11/29/2016 13:11:00,11,"Fighting, Mounting",12,UR,WL,,,
11/29/2016 13:12:00,2,Induce-flee,8,NB2,WL,,,
11/29/2016 13:13:00,12,Chasing,4,LL,WL,4 showed sub too. Huh,,
11/29/2016 13:15:00,4,Chasing,3,LR,WL,,,
11/29/2016 13:16:00,3,Subordinate,1,MR,WL,,,
11/29/2016 13:18:00,11,Mounting,12,MR,WL,,,
11/29/2016 13:18:00,11,Fighting,12,MR,WL,,,
11/29/2016 13:20:00,2,Fighting,8,NB4,WL,,,
11/29/2016 13:22:00,2,Fighting,12,NB4,WL,,,
11/29/2016 13:25:00,11,Subordinate,10,MR,WL,,,
11/29/2016 13:28:00,11,"Chasing, Mounting",10,MR,WL,,,
11/29/2016 13:29:00,11,Subordinate,10,LL,WL,,,
11/29/2016 13:32:00,11,"Chasing, Mounting",12,ML,WL,,,
11/29/2016 13:33:00,11,Chasing,10,MR,WL,,,
11/29/2016 13:35:00,11,Fighting,10,LL,WL,,,
11/29/2016 13:35:00,2,Chasing,7,NB5,WL,,,
11/29/2016 13:37:00,4,Chasing,3,ML,WL,,,
11/29/2016 13:38:00,11,Fighting,10,ML,WL,,,
11/29/2016 13:39:00,11,Fighting,10,LR,WL,,,
11/29/2016 13:40:00,4,Fighting,3,MR,WL,,,
11/29/2016 13:41:00,11,"Chasing, Mounting",12,UR,WL,,,
11/29/2016 13:44:00,4,Mounting,3,LL,WL,,,
11/29/2016 13:46:00,2,Fighting,1,LL,WL,,,
11/29/2016 13:48:00,11,Chasing,12,LR,WL,,,
11/29/2016 13:48:00,11,Fighting,12,LL,WL,,,
11/29/2016 13:49:00,2,Fighting,5,LL,WL,,,
11/29/2016 13:49:00,2,Fighting,11,LL,WL,,,
11/29/2016 13:56:00,11,Fighting,12,MR,WL,,,
11/29/2016 13:56:00,11,Fighting,9,MR,WL,,,
11/29/2016 13:57:00,11,Fighting,10,UR,WL,,,
11/29/2016 13:57:00,11,Fighting,10,MR,WL,,,
11/29/2016 13:58:00,4,Chasing,3,UR,WL,,,
11/29/2016 13:59:00,2,Subordinate,10,LL,WL,,,
11/29/2016 14:00:00,End,End,End,End,WL,,,
11/29/2016 14:02:00,Start,Start,Start,Start,IK,,,
11/29/2016 14:09:00,11,Chasing,12,UR,IK,,,
11/29/2016 14:12:00,11,"Fighting, Chasing",12,MR,IK,,,
11/29/2016 14:17:00,11,"Fighting, Chasing",12,UL,IK,,,
11/29/2016 14:18:00,"2, 3",Fighting,"2, 3",NB2,IK,,,
11/29/2016 14:21:00,11,"Fighting, Chasing",12,ML,IK,,,
11/29/2016 14:24:00,12,Chasing,8,LR,IK,,,
11/29/2016 14:31:00,2,Chasing,1,LL,IK,,,
11/29/2016 14:34:00,2,"Fighting, Chasing",11,UR,IK,,,
11/29/2016 14:34:00,2,Chasing,9,ML,IK,,,
11/29/2016 14:37:00,11,"Fighting, Chasing",12,UR,IK,,,
11/29/2016 14:38:00,11,"Fighting, Chasing",12,ML,IK,,,
11/29/2016 14:39:00,4,Chasing,1,UL,IK,,,
11/29/2016 14:43:00,11,Chasing,6,MR,IK,,,
11/29/2016 14:44:00,4,"Fighting, Chasing",3,MR,IK,,,
11/29/2016 14:49:00,7,Chasing,3,MR,IK,,,
11/29/2016 14:51:00,11,Chasing,10,UR,IK,,,
11/29/2016 14:55:00,11,Chasing,12,ML,IK,,,
11/29/2016 15:04:00,11,"Fighting, Chasing",10,ML,IK,,,
11/29/2016 15:06:00,11,Chasing,12,MR,IK,,,
11/29/2016 15:08:00,4,"Fighting, Chasing",3,ML,IK,,,
11/29/2016 15:08:00,4,"Fighting, Chasing",3,ML,IK,,,
11/29/2016 15:08:00,11,"Fighting, Chasing",8,MR,IK,,,
11/29/2016 15:10:00,4,"Fighting, Chasing",3,ML,IK,,,
