"cohort","day","behav","times","grank1","mouse","total","bouts"
36,9,"Drink",35,1,8,3.24,1
36,9,"Drink",48,8,7,7.76659,1
36,9,"Drink",110,1,8,1.2,1
36,9,"Drink",119,8,7,11.59988,2
36,9,"Drink",140,11,6,4.49995,1
36,9,"Drink",152,1,8,0.72,1
36,9,"Drink",236,1,8,11.8,1
36,9,"Drink",245,10,9,2.32,1
36,9,"Drink",313,1,8,9.4,1
36,9,"Drink",384,7,3,10.16,1
36,9,"Drink",437,1,8,9.68,1
36,9,"Drink",463,1,8,3.9,1
36,9,"Drink",522,1,8,9.28,1
36,9,"Drink",540,6,10,5.92,1
36,9,"Drink",610,2,12,5.36,1
36,9,"Drink",615,2,12,14.16,1
36,9,"Drink",708,1,8,8.64,1
36,9,"Drink",761,10,9,10.12,2
36,9,"Drink",814,1,8,8.68,1
36,9,"Drink",853,4,11,11.16,1
36,9,"Eat",8,1,8,5.13328,1
36,9,"Eat",31,9,4,58.9881,1
36,9,"Eat",92,9,4,2.13331,1
36,9,"Eat",94,1,8,2.08,1
36,9,"Eat",111,1,8,7.76659,1
36,9,"Eat",128,2,12,2.76,1
36,9,"Eat",210,9,4,4.39996,1
36,9,"Eat",242,1,8,53.4,1
36,9,"Eat",306,1,8,60,1
36,9,"Eat",320,10,9,35.92,1
36,9,"Eat",501,5,2,60,1
36,9,"Eat",514,1,8,24.66,1
36,9,"Eat",555,1,8,54.18,1
36,9,"Eat",607,7,3,60,1
36,9,"Eat",620,4,11,7.7,1
36,9,"Eat",628,1,8,21.24,1
36,9,"Eat",724,1,8,4.64,1
36,9,"Eat",742,10,9,60,1
36,9,"Eat",812,1,8,45.28,1
36,9,"Eat",915,7,3,60,1
37,6,"Drink",21,11,3,7.4,1
37,6,"Drink",86,1,2,3.2,1
37,6,"Drink",148,6,7,11.6,1
37,6,"Drink",177,1,2,2.02,1
37,6,"Drink",187,1,2,3.66,1
37,6,"Drink",268,5,12,4.32,1
37,6,"Drink",295,1,2,5.2,1
37,6,"Drink",357,4,4,7.34,1
37,6,"Drink",461,4,4,1.7,1
37,6,"Drink",468,1,2,10.24,1
37,6,"Drink",614,1,2,1.26,1
37,6,"Drink",633,1,2,3.18,1
37,6,"Drink",654,1,2,9.8,1
37,6,"Drink",871,6,7,16.84,1
37,6,"Drink",898,10,1,3.12,1
37,6,"Drink",902,9,5,4.4,1
37,6,"Drink",922,1,2,9.8,1
37,6,"Drink",1157,9,5,5.2,1
37,6,"Drink",1249,1,2,7.6,1
37,6,"Drink",1289,8,10,7.42,1
37,6,"Eat",24,8,10,13.92,2
37,6,"Eat",53,1,2,2.76,1
37,6,"Eat",130,1,2,25.62,1
37,6,"Eat",135,7,8,7.04,1
37,6,"Eat",153,7,8,28.78,1
37,6,"Eat",178,1,2,59.94,1
37,6,"Eat",251,1,2,10.02,1
37,6,"Eat",308,6,7,11.8,1
37,6,"Eat",381,1,2,60,1
37,6,"Eat",450,5,12,14.04,2
37,6,"Eat",547,1,2,0.44,1
37,6,"Eat",617,1,2,50.08,1
37,6,"Eat",624,1,2,3.64,1
