"","cohort","day","id","side","behav","times","Duration_sf"
"1",36,9,"M8","left","Eat",8,"5.13328"
"2",36,9,"M4","left","Eat",31,"58.9881"
"3",36,9,"M7","left","Drink",48,"7.76659"
"4",36,9,"M4","left","Eat",92,"2.13331"
"5",36,9,"M8","left","Eat",111,"7.76659"
"6",36,9,"M7","left","Drink",119,"7.36659,4.23329"
"7",36,9,"M6","left","Drink",140,"4.49995"
"8",36,9,"M4","left","Eat",210,"4.39996"
"9",36,9,"M3","left","Drink",384,"10.16"
"10",36,9,"M8","left","Drink",463,"3.9"
"11",36,9,"M2","left","Eat",501,"60"
"12",36,9,"M8","left","Eat",514,"24.66"
"13",36,9,"M8","left","Drink",522,"9.28"
"14",36,9,"M8","left","Eat",555,"54.18"
"15",36,9,"M3","left","Eat",607,"60"
"16",36,9,"M11","left","Eat",620,"7.7"
"17",36,9,"M9","left","Drink",761,"9.04,1.08"
"18",36,9,"M11","left","Drink",853,"11.16"
"19",36,9,"M8","right","Drink",35,"3.24"
"20",36,9,"M8","right","Eat",94,"2.08"
"21",36,9,"M8","right","Drink",110,"1.2"
"22",36,9,"M12","right","Eat",128,"2.76"
"23",36,9,"M8","right","Drink",152,"0.72"
"24",36,9,"M8","right","Drink",236,"11.8"
"25",36,9,"M8","right","Eat",242,"53.4"
"26",36,9,"M9","right","Drink",245,"2.32"
"27",36,9,"M8","right","Eat",306,"60"
"28",36,9,"M8","right","Drink",313,"9.4"
"29",36,9,"M9","right","Eat",320,"35.92"
"30",36,9,"M8","right","Drink",437,"9.68"
"31",36,9,"M10","right","Drink",540,"5.92"
"32",36,9,"M12","right","Drink",610,"5.36"
"33",36,9,"M12","right","Drink",615,"14.16"
"34",36,9,"M8","right","Eat",628,"21.24"
"35",36,9,"M8","right","Drink",708,"8.64"
"36",36,9,"M8","right","Eat",724,"4.64"
"37",36,9,"M9","right","Eat",742,"60"
"38",36,9,"M8","right","Eat",812,"45.28"
"39",36,9,"M8","right","Drink",814,"8.68"
"40",36,9,"M3","right","Eat",915,"60"
"41",37,6,"M2","left","Eat",130,"25.62"
"42",37,6,"M8","left","Eat",135,"7.04"
"43",37,6,"M8","left","Eat",153,"28.78"
"44",37,6,"M2","left","Drink",177,"2.02"
"45",37,6,"M2","left","Eat",178,"59.94"
"46",37,6,"M2","left","Drink",187,"3.66"
"47",37,6,"M2","left","Eat",251,"10.02"
"48",37,6,"M12","left","Drink",268,"4.32"
"49",37,6,"M7","left","Eat",308,"11.8"
"50",37,6,"M2","left","Drink",468,"10.24"
"51",37,6,"M2","left","Eat",547,"0.44"
"52",37,6,"M2","left","Drink",614,"1.26"
"53",37,6,"M2","left","Eat",617,"50.08"
"54",37,6,"M2","left","Eat",624,"3.64"
"55",37,6,"M2","left","Drink",633,"3.18"
"56",37,6,"M2","left","Drink",654,"9.8"
"57",37,6,"M7","left","Drink",871,"16.84"
"58",37,6,"M1","left","Drink",898,"3.12"
"59",37,6,"M5","left","Drink",1157,"5.2"
"60",37,6,"M10","left","Eat",1286,"10.3,11.3,6.72"
"61",37,6,"M10","left","Drink",1289,"7.42"
"62",37,6,"M3","right","Drink",21,"7.4"
"63",37,6,"M10","right","Eat",24,"6.04,7.88"
"64",37,6,"M2","right","Eat",53,"2.76"
"65",37,6,"M2","right","Drink",86,"3.2"
"66",37,6,"M7","right","Drink",148,"11.6"
"67",37,6,"M2","right","Drink",295,"5.2"
"68",37,6,"M4","right","Drink",357,"7.34"
"69",37,6,"M2","right","Eat",381,"60"
"70",37,6,"M12","right","Eat",450,"2.96,11.08"
"71",37,6,"M4","right","Drink",461,"1.7"
"72",37,6,"M2","right","Eat",843,"60"
"73",37,6,"M11","right","Eat",857,"60"
"74",37,6,"M1","right","Eat",885,"60"
"75",37,6,"M10","right","Eat",887,"5.48,6.2,19.44"
"76",37,6,"M5","right","Drink",902,"4.4"
"77",37,6,"M2","right","Drink",922,"9.8"
"78",37,6,"M9","right","Eat",994,"4.48,0.68"
"79",37,6,"M2","right","Drink",1249,"7.6"
"80",37,6,"M2","right","Eat",1257,"8.64"
"81",38,17,"M1","left","Drink",61,"6.62"
"82",38,17,"M1","left","Drink",86,"2.4"
"83",38,17,"M5","left","Eat",138,"24.18"
"84",38,17,"M7","left","Drink",164,"9.96"
"85",38,17,"M1","left","Eat",228,"2.7"
"86",38,17,"M6","left","Drink",318,"3.66"
"87",38,17,"M10","left","Eat",422,"17.88"
"88",38,17,"M5","left","Drink",498,"10.56"
"89",38,17,"M5","left","Eat",680,"14.54,2.3"
"90",38,17,"M5","left","Drink",693,"4.74"
"91",38,17,"M11","left","Eat",764,"4.42"
