Duration_sf,Behavior,Event_Type,Side,Time
6.23944,drink,State start,left,0:59:31
0,drink,State stop,left,0:59:37
2.20216,eat,State start,left,2:03:25
0,eat,State stop,left,2:03:27
3.26987,eat,State start,left,2:08:31
0,eat,State stop,left,2:08:34
1.63493,drink,State start,left,2:47:24
0,drink,State stop,left,2:47:25
9.00882,drink,State start,left,3:04:37
0,drink,State stop,left,3:04:46
1.7684,drink,State start,left,4:58:10
0,drink,State stop,left,4:58:11
15.2149,drink,State start,left,1:15:40
0,drink,State stop,left,1:15:55
3.10304,drink,State start,left,3:26:25
0,drink,State stop,left,3:26:28
5.2051,drink,State start,left,6:19:24
0,drink,State stop,left,6:19:29
5.57212,eat,State start,left,6:40:54
0,eat,State stop,left,6:40:59
7.37389,drink,State start,left,7:02:06
0,drink,State stop,left,7:02:13
7.23673,drink,State start,left,7:24:52
0,drink,State stop,left,7:24:59
35.5348,eat,State start,left,7:54:24
0,eat,State stop,left,7:55:00
3.20314,drink,State start,left,9:58:33
0,drink,State stop,left,9:58:36
59.9921,eat,State start,left,13:56:00
0,eat,State stop,left,13:57:00
9.00882,eat,State start,left,14:41:50
0,eat,State stop,left,14:41:59
7.24,eat,State start,right,0:46:29
0,eat,State stop,right,0:46:36
"4.52,10.72",eat,State start,right,2:55:18
0,eat,State stop,right,2:55:22
2.16,drink,State start,right,3:40:27
0,drink,State stop,right,3:40:29
15,eat,State start,right,4:21:00
0,eat,State stop,right,4:21:15
5.76,eat,State start,right,4:24:34
0,eat,State stop,right,4:24:40
2.6,drink,State start,right,4:59:57
0,drink,State stop,right,5:00:00
8.16,eat,State start,right,5:14:51
0,eat,State stop,right,5:15:00
4.44,drink,State start,right,5:27:00
0,drink,State stop,right,5:27:04
26.4,eat,State start,right,0:03:33
0,eat,State stop,right,0:04:00
14.8,drink,State start,right,0:07:33
0,drink,State stop,right,0:07:47
16.4,eat,State start,right,1:33:12
0,eat,State stop,right,1:33:29
2.64,drink,State start,right,1:55:41
0,drink,State stop,right,1:55:43
6.4,drink,State start,right,3:00:10
0,drink,State stop,right,3:00:17
25.52,eat,State start,right,3:19:34
0,eat,State stop,right,3:20:00
0.52,drink,State start,right,3:35:10
0,drink,State stop,right,3:35:10
0.48,drink,State start,right,3:43:34
0,drink,State stop,right,3:43:35
9.64,eat,State start,right,3:59:18
0,eat,State stop,right,3:59:28
"14.16,14.2",eat,State start,right,4:36:29
0,eat,State stop,right,4:36:43
10.24,eat,State start,right,4:50:00
0,eat,State stop,right,4:50:10
10.08,drink,State start,right,6:25:00
0,drink,State stop,right,6:25:10
20.32,eat,State start,right,7:35:39
0,eat,State stop,right,7:36:00
31.76,eat,State start,right,7:45:28
0,eat,State stop,right,7:46:00
13.16,drink,State start,right,11:24:13
0,drink,State stop,right,11:24:26
2.76,drink,State start,right,14:13:47
0,drink,State stop,right,14:13:50
60,eat,State start,right,14:53:00
0,eat,State stop,right,14:54:00
