Duration_sf,Behavior,Event_Type,Side,Time
6.62,drink,State start,left,01:29:13
0,drink,State stop,left,01:29:19
2.4,drink,State start,left,01:54:12
0,drink,State stop,left,01:54:15
24.18,eat,State start,left,02:45:58
0,eat,State stop,left,02:46:22
9.96,drink,State start,left,03:12:38
0,drink,State stop,left,03:12:48
2.7,eat,State start,left,04:16:31
0,eat,State stop,left,04:16:34
3.66,drink,State start,left,00:23:56
0,drink,State stop,left,00:24:00
17.88,eat,State start,left,02:07:15
0,eat,State stop,left,02:07:33
10.56,drink,State start,left,03:23:35
0,drink,State stop,left,03:23:45
14.54,eat,State start,left,06:25:12
0,eat,State stop,left,06:25:26
2.3,eat,State start,left,06:25:29
0,eat,State stop,left,06:25:32
4.74,drink,State start,left,06:38:52
0,drink,State stop,left,06:38:57
4.42,eat,State start,left,07:49:31
0,eat,State stop,left,07:49:35
7.98,drink,State start,left,07:54:40
0,drink,State stop,left,07:54:48
2.96,eat,State start,left,08:02:53
0,eat,State stop,left,08:02:56
1.72,eat,State start,left,08:02:58
0,eat,State stop,left,08:03:00
2.34,drink,State start,left,08:05:05
0,drink,State stop,left,08:05:07
4.82,eat,State start,left,12:20:20
0,eat,State stop,left,12:20:25
15.08,eat,State start,left,13:04:40
0,eat,State stop,left,13:04:55
7.72,drink,State start,left,00:02:21
0,drink,State stop,left,00:02:29
50.16,eat,State start,left,00:53:02
0,eat,State stop,left,00:53:52
2.74,drink,State start,left,01:33:22
0,drink,State stop,left,01:33:25
4.7,drink,State start,left,01:33:48
0,drink,State stop,left,01:33:53
9.8,drink,State start,right,00:44:29
0,drink,State stop,right,00:44:39
32.64,eat,State start,right,00:48:13
0,eat,State stop,right,00:48:46
19.12,eat,State start,right,00:49:26
0,eat,State stop,right,00:49:46
3.24,eat,State start,right,00:49:50
0,eat,State stop,right,00:49:53
6.8,drink,State start,right,00:59:13
0,drink,State stop,right,00:59:20
18.24,eat,State start,right,01:37:00
0,eat,State stop,right,01:37:18
7.64,eat,State start,right,01:37:25
0,eat,State stop,right,01:37:32
1,eat,State start,right,02:07:15
0,eat,State stop,right,02:07:16
25.52,eat,State start,right,02:38:25
0,eat,State stop,right,02:38:50
1.32,drink,State start,right,02:47:25
0,drink,State stop,right,02:47:26
1.88,drink,State start,right,04:00:52
0,drink,State stop,right,04:00:54
9.44,eat,State start,right,04:23:00
0,eat,State stop,right,04:23:09
13.6,eat,State start,right,04:23:46
0,eat,State stop,right,04:24:00
23.8,eat,State start,right,04:46:36
0,eat,State stop,right,04:47:00
10.2,drink,State start,right,00:31:00
0,drink,State stop,right,00:31:10
2.4,drink,State start,right,00:31:12
0,drink,State stop,right,00:31:15
19.6,eat,State start,right,00:33:36
0,eat,State stop,right,00:33:56
2.2,drink,State start,right,03:11:57
0,drink,State stop,right,03:12:00
5.32,eat,State start,right,03:17:47
0,eat,State stop,right,03:17:53
60,eat,State start,right,05:43:00
0,eat,State stop,right,05:44:00
11.6,drink,State start,right,05:44:08
0,drink,State stop,right,05:44:20
5.8,drink,State start,right,05:44:21
0,drink,State stop,right,05:44:27
2.52,drink,State start,right,05:44:30
0,drink,State stop,right,05:44:33
5.12,drink,State start,right,05:44:53
0,drink,State stop,right,05:44:58
19.68,eat,State start,right,05:59:40
0,eat,State stop,right,06:00:00
11.92,drink,State start,right,06:37:37
0,drink,State stop,right,06:37:49
6.84,drink,State start,right,09:35:15
0,drink,State stop,right,09:35:21
1.64,drink,State start,right,11:25:58
0,drink,State stop,right,11:26:00
4.68,eat,State start,right,12:19:55
0,eat,State stop,right,12:20:00
15,eat,State start,right,00:55:44
0,eat,State stop,right,00:55:59
16.52,eat,State start,right,01:44:43
0,eat,State stop,right,01:45:00
