Hour,Start (minute),Mouse 1,Mouse 2,Mouse 3,Mouse 4,Mouse 5,Mouse 6,Mouse 7,Mouse 8,Mouse 9,Mouse 10,Mouse 11,Mouse 12,Light
0,0,,,e,,,,,,,,,,off
0,1,,,,,,,,,,,,,
0,2,,,,,,,,,,,,,
0,3,,,,,,,,,,,,,
0,4,,,,,,,,,,,,,
0,5,,,,,,,,,,,,,
0,6,,,,,,,,,,,,,
0,7,,,"e, d",,,,,,,,,,
0,8,,,d,,,,,,,,,,
0,9,,,,,,,,,,,,,
0,10,,,,,,,,,,,,d,
0,11,,,d,,,,,,,,,,
0,12,,,,e,,,,,,,,,
0,13,,,,,,,,,,,,e,
0,14,,,,,,,,,,,,,
0,15,,,,,,,,,,,,,
0,16,,,,,,,,,,,,,
0,17,,,,,,,,,,,,,
0,18,,,,,,,,,,,,,
0,19,,,,,,,,,,,,,
0,20,,,e,,,,,,,,,,
0,21,,,e,,,,,,,,,,
0,22,,,e,,,,,,,,,,
0,23,,,e,,,,,,,,,,
0,24,,,e,,,,,,,,,,
0,25,,,d,,,,,,,,,,
0,26,,,,,,,,,,,,,
0,27,,,,,,,,,,,,,
0,28,,,,,,,,,,,,,
0,29,,,,,,,,,,,,,
0,30,,,,,,,,,,,,,
0,31,,,e,,,,,,,,,,
0,32,,,,,,,,,,,,,
0,33,,,,,,,,,,,,,
0,34,,,,,,,,,,,,d,
0,35,,,,,,,,,,,,,
0,36,,,,,,,,,,,,,
0,37,,,,,,,,,,,,,
0,38,,,,,,,,,,,,,
0,39,,,,,,,,,,,,,
0,40,,,,,,,,,,,,,
0,41,,,,,,,,,,e,,,
0,42,,,,,,,,,,e,,,
0,43,,,,,,,,,,e,,,
0,44,,,,,,,,,,,,,
0,45,,,,,,,,,,,,,
0,46,,,,,,,,,,,,,
0,47,,,,,,,,,,,,,
0,48,,,,,,,,,,,,,
0,49,,,,,,,,,,,,,
0,50,,,,,,,,,,,,,
0,51,,,,,,,,,,,,,
0,52,,,,,,,,,,d,,,
0,53,,,,,,,,,,d,,,
0,54,,,,,,,,,,,,,
0,55,,,,,,,,,,,,,
0,56,,,,,,,,,,e,,,
0,57,,,,,,,,,,e,,,
0,58,,,,,,,,,,e,,,
0,59,,,,,,,,,,e,,,
1,0,,,,,,,,,,e,,,
1,1,,,,,,,,,,e,,,
1,2,,,,,,,,,,e,,,
1,3,,,,,,,,,,e,,,
1,4,,,,,,,,,,,,,
1,5,,,,,,,,,,,,,
1,6,,,,,,,,,,,,,
1,7,,,,,,,,,,,,,
1,8,,,,,,,,,,,,,
1,9,,,,,,,,,,,,,
1,10,,,,,,,,,,,,,
1,11,,,,,,,,,,d,,,
1,12,,,,,,,,,,,,,
1,13,,,,,,,,,,e,,,
1,14,,,,,,,,,,e,,,
1,15,,,,,,,,,,e,,,
1,16,,,,,,,,,,d,,,
1,17,,,,,,,,,,d,,,
1,18,,,,,,,,,,,,,
1,19,,,e,,,,,,,,,,
1,20,,,e,,,,,,,,,,
1,21,,,d,,,,,,,,,,
1,22,,,d,,,,,,,,,,
1,23,,,,,,,,,,,,,
