"cohort","day","sttc","focalrank","timewindow"
36,9,0.378295514375716,1,1
37,6,-0.199540976310499,1,1
38,17,0.0150798664217111,1,1
39,22,0.441634972811996,1,1
44,8,0.422401191270598,1,1
45,14,0.357524530716417,1,1
46,20,0.143196428022592,1,1
81,7,0.216065655155714,1,1
83,12,0.295098839548041,1,1
85,8,0.138437921828325,1,1
86,7,0.0591603185084564,1,1
36,9,0.30265893399927,2,1
37,6,0.00192111512894325,2,1
38,17,-0.360214619048122,2,1
39,22,0.355784486605925,2,1
44,8,0.257974116887489,2,1
45,14,0.250792839881929,2,1
46,20,0.0451867489696045,2,1
81,7,-0.168477289794377,2,1
83,12,0.315836802548443,2,1
85,8,-0.258713548328952,2,1
86,7,0.0657692481964223,2,1
36,9,0.389417485805672,3,1
37,6,0.250763818254842,3,1
38,17,-0.234567653106253,3,1
39,22,0.320147889826214,3,1
44,8,0.307402289320406,3,1
45,14,0.250899189711862,3,1
46,20,0.599991663460305,3,1
81,7,0.129499480959571,3,1
83,12,-0.046621187933597,3,1
85,8,0.27545277152228,3,1
86,7,-0.2947816633824,3,1
36,9,0.516231433856056,4,1
37,6,0.172810455977494,4,1
38,17,-0.0808586500230959,4,1
39,22,0.175190293475074,4,1
44,8,0.448177378587528,4,1
45,14,0.181703074531436,4,1
46,20,0.104341875028354,4,1
81,7,0.242550795971281,4,1
83,12,0.481495848527838,4,1
85,8,0.0400256638221369,4,1
86,7,0.45038331149361,4,1
36,9,0.428915391074975,5,1
37,6,0.549826104847306,5,1
38,17,0.411597705513649,5,1
39,22,0.0167984084136497,5,1
44,8,0.27238955026658,5,1
45,14,0.49991175655045,5,1
46,20,0.186266304115185,5,1
81,7,0.116507202942062,5,1
83,12,0.380710164211406,5,1
85,8,-0.0224036613944108,5,1
86,7,-0.0184274342623075,5,1
36,9,0.519487078732391,6,1
37,6,0.344598997589476,6,1
38,17,-0.270929060085384,6,1
39,22,0.2426251530048,6,1
44,8,0.433324237164798,6,1
45,14,0.28159263807332,6,1
46,20,0.291030942192607,6,1
81,7,0.257446213310846,6,1
83,12,0.45187982926216,6,1
85,8,0.32965645658895,6,1
86,7,0.38494915112892,6,1
36,9,0.220651485931041,7,1
37,6,0.22218089812751,7,1
38,17,-0.0326278242160869,7,1
39,22,0.293050658090352,7,1
44,8,0.503615603646915,7,1
45,14,0.111914446366743,7,1
46,20,0.174035529128415,7,1
81,7,0.231835491748732,7,1
83,12,0.603415413762931,7,1
85,8,0.269862813820919,7,1
86,7,0.469576219465358,7,1
36,9,0.409008248740295,8,1
37,6,0.467682272515164,8,1
38,17,-0.26526227243496,8,1
39,22,0.443158666584015,8,1
44,8,0.464020476786973,8,1
45,14,0.261998618173346,8,1
46,20,0.127675384869714,8,1
81,7,0.202165123316335,8,1
83,12,0.383375399529888,8,1
85,8,0.428747147458203,8,1
86,7,0.317848669091295,8,1
36,9,0.392807802725648,9,1
37,6,0.069003227555532,9,1
38,17,0.0607846642410987,9,1
39,22,0.357352388490089,9,1
44,8,0.28600935085929,9,1
45,14,0.342067898297973,9,1
46,20,0.283048911749559,9,1
81,7,0.336035071683576,9,1
83,12,0.388074165295836,9,1
85,8,0.206469920517194,9,1
86,7,0.0724730346540774,9,1
36,9,0.431495466893519,10,1
37,6,0.156475109204639,10,1
38,17,-0.109051219230315,10,1
39,22,0.327225527599976,10,1
44,8,0.367313921758785,10,1
45,14,0.259592830248255,10,1
46,20,0.299818712565125,10,1
81,7,0.302087304332689,10,1
83,12,0.441692228438265,10,1
85,8,0.270365128701096,10,1
86,7,0.228025803651968,10,1
36,9,0.396537418033478,11,1
37,6,0.138815460717839,11,1
38,17,-0.17129137770169,11,1
39,22,0.442201694765276,11,1
44,8,0.280344040207579,11,1
45,14,0.590295623782971,11,1
46,20,0.505651949480339,11,1
81,7,0.513458546136933,11,1
83,12,0.501045523430448,11,1
85,8,0.231549005105669,11,1
86,7,0.176262406271796,11,1
36,9,0.457027591240869,12,1
37,6,0.246168585748127,12,1
38,17,0.042039432372315,12,1
39,22,0.163058076390385,12,1
44,8,0.462542813448801,12,1
45,14,0.462204888673816,12,1
46,20,0.0918812984348123,12,1
81,7,-0.0916283826726197,12,1
83,12,0.305524205201606,12,1
85,8,0.31193728049626,12,1
86,7,0.440899403790952,12,1
36,9,0.428531186745302,1,2
37,6,-0.209121551491554,1,2
38,17,0.0135582846813324,1,2
39,22,0.533871412874762,1,2
44,8,0.455520914624593,1,2
45,14,0.389553960615835,1,2
46,20,0.127559435551714,1,2
81,7,0.303962020112089,1,2
83,12,0.348223119278713,1,2
85,8,0.152294510931124,1,2
86,7,0.0317413537143362,1,2
36,9,0.352672220359528,2,2
37,6,-0.0626410664405079,2,2
38,17,-0.400292750073486,2,2
39,22,0.393157051976793,2,2
44,8,0.248555784787337,2,2
45,14,0.293897961229427,2,2
46,20,0.00558107096535639,2,2
81,7,-0.1604867848717,2,2
83,12,0.34012180486927,2,2
85,8,-0.278869150402288,2,2
86,7,0.00740298620064312,2,2
36,9,0.41549755657919,3,2
37,6,0.262644119212772,3,2
38,17,-0.252477294274782,3,2
39,22,0.34935895032405,3,2
44,8,0.329768953646188,3,2
45,14,0.294439592791789,3,2
46,20,0.610864574962211,3,2
81,7,0.12268595799831,3,2
83,12,-0.0339367127677479,3,2
85,8,0.30014487644997,3,2
86,7,-0.335506800042088,3,2
36,9,0.512696127381913,4,2
37,6,0.10330971795793,4,2
38,17,-0.167987707469111,4,2
39,22,0.111852869774333,4,2
44,8,0.464949744529676,4,2
45,14,0.192183993098489,4,2
46,20,0.062245307376955,4,2
81,7,0.204145041697808,4,2
83,12,0.543259136379387,4,2
85,8,0.0433713871957931,4,2
86,7,0.448707199729702,4,2
36,9,0.495299898498197,5,2
37,6,0.578430350892296,5,2
38,17,0.476707255879707,5,2
39,22,-0.0292409875663069,5,2
44,8,0.295422257812476,5,2
45,14,0.527893207456239,5,2
46,20,0.161140901387555,5,2
81,7,0.0906596029935835,5,2
83,12,0.396102662342596,5,2
85,8,0.000398346815203558,5,2
86,7,-0.0371137211074748,5,2
36,9,0.594339712261519,6,2
37,6,0.343201415310135,6,2
38,17,-0.288425626360969,6,2
39,22,0.265976128975129,6,2
44,8,0.469551305144049,6,2
45,14,0.341775628128101,6,2
46,20,0.241439410926317,6,2
81,7,0.332548148304641,6,2
83,12,0.52117448088567,6,2
85,8,0.336268075345794,6,2
86,7,0.379547757699221,6,2
36,9,0.206132779975848,7,2
37,6,0.190247001400285,7,2
38,17,-0.0410482573631132,7,2
39,22,0.325551370128495,7,2
44,8,0.523382071748798,7,2
45,14,0.130501705320705,7,2
46,20,0.146473095018302,7,2
81,7,0.315470056861063,7,2
83,12,0.65520135255994,7,2
85,8,0.258674554475657,7,2
86,7,0.48586499160451,7,2
36,9,0.43720695818273,8,2
37,6,0.532411262798714,8,2
38,17,-0.317235326608664,8,2
39,22,0.466167252726688,8,2
44,8,0.461296816561712,8,2
45,14,0.302271181046282,8,2
46,20,0.0378648242600362,8,2
81,7,0.179499322642786,8,2
83,12,0.395287881426785,8,2
85,8,0.507563409326385,8,2
86,7,0.421862026023927,8,2
36,9,0.461128775834658,9,2
37,6,-0.0188701403571249,9,2
38,17,-0.00545506914586058,9,2
39,22,0.396304430524046,9,2
44,8,0.284656288286612,9,2
45,14,0.367812104654052,9,2
46,20,0.236935988070156,9,2
81,7,0.492607866068476,9,2
83,12,0.380401933824918,9,2
85,8,0.179452151282832,9,2
86,7,0.0256719862296318,9,2
36,9,0.4644737648437,10,2
37,6,0.106165150849637,10,2
38,17,-0.183120541892605,10,2
39,22,0.351361409812908,10,2
44,8,0.373274595505253,10,2
45,14,0.250652048509403,10,2
46,20,0.228844600769293,10,2
81,7,0.279344318709102,10,2
83,12,0.530056238905717,10,2
85,8,0.272265272730344,10,2
86,7,0.182433593379834,10,2
36,9,0.390514082263584,11,2
37,6,0.143770550394751,11,2
38,17,-0.246412827677362,11,2
39,22,0.529993453290514,11,2
44,8,0.284543914041422,11,2
45,14,0.641985742777591,11,2
46,20,0.581136667638865,11,2
81,7,0.55289227135521,11,2
83,12,0.509812220561231,11,2
85,8,0.219001369714182,11,2
86,7,0.207518799775021,11,2
36,9,0.558805995079055,12,2
37,6,0.174671150169717,12,2
38,17,-0.0213458783895486,12,2
39,22,0.172219505064379,12,2
44,8,0.448723350976822,12,2
45,14,0.556198324555898,12,2
46,20,0.0237068350413328,12,2
81,7,-0.136701333173347,12,2
83,12,0.314294251469353,12,2
85,8,0.34443513905594,12,2
86,7,0.50909198937311,12,2
36,9,0.530905704312193,1,3
37,6,-0.216380167810148,1,3
38,17,0.109964595392925,1,3
39,22,0.620410207342794,1,3
44,8,0.46727758831025,1,3
45,14,0.424981873767361,1,3
46,20,0.11835901324386,1,3
81,7,0.372467140587281,1,3
83,12,0.371571299921143,1,3
85,8,0.137538005707539,1,3
