"cohort","day","sttc","focalrank","timewindow"
"36","9",0.216434577913358,1,1
"37","6",-0.139584741079715,1,1
"38","17",0.0250048916099373,1,1
"39","22",0.329930323551024,1,1
"44","8",0.128898388763075,1,1
"45","14",0.288545333061994,1,1
"46","20",0.0972079004481285,1,1
"81","7",0.169180070226588,1,1
"83","12",0.316616302442531,1,1
"85","8",0.0593271907927027,1,1
"86","7",0.107335034585414,1,1
"36","9",0.338002342450638,2,1
"37","6",0.0645638355491632,2,1
"38","17",-0.217281140607275,2,1
"39","22",0.245169850747287,2,1
"44","8",0.142319875630015,2,1
"45","14",0.169437153954501,2,1
"46","20",0.0335725780976667,2,1
"81","7",-0.157270984913314,2,1
"83","12",0.364853416674451,2,1
"85","8",-0.139470590299777,2,1
"86","7",0.116460362977555,2,1
"36","9",0.317488512009271,3,1
"37","6",0.325782574588031,3,1
"38","17",-0.129435495524813,3,1
"39","22",0.1589212222901,3,1
"44","8",0.221437074725748,3,1
"45","14",0.163502766728909,3,1
"46","20",0.477638507659845,3,1
"81","7",0.0176748626333309,3,1
"83","12",-0.0307761555074526,3,1
"85","8",0.145733150460011,3,1
"86","7",-0.190900671548812,3,1
"36","9",0.0626751335778138,4,1
"37","6",0.188104756368929,4,1
"38","17",0.000904344894824861,4,1
"39","22",0.180858388620267,4,1
"44","8",0.318916485696996,4,1
"45","14",0.0488285686578123,4,1
"46","20",0.192624174913993,4,1
"81","7",0.198283649503162,4,1
"83","12",0.387081264757043,4,1
"85","8",-0.0350776285361942,4,1
"86","7",0.398986538523342,4,1
"36","9",0.298042299178159,5,1
"37","6",0.330849447395959,5,1
"38","17",0.156408490761637,5,1
"39","22",0.0655963114749561,5,1
"44","8",0.126003388989109,5,1
"45","14",0.42281636988104,5,1
"46","20",0.131066952150923,5,1
"81","7",0.133583730872921,5,1
"83","12",0.341397170613305,5,1
"85","8",0.130978144098186,5,1
"86","7",-0.0398210903448119,5,1
"36","9",0.443916836425785,6,1
"37","6",0.316076560582509,6,1
"38","17",-0.163665483711766,6,1
"39","22",0.207236986376523,6,1
"44","8",0.0787299032323126,6,1
"45","14",0.219435943214056,6,1
"46","20",0.263871827596488,6,1
"81","7",0.0735076174918196,6,1
"83","12",0.40903390660673,6,1
"85","8",0.270795322669975,6,1
"86","7",0.344858907800834,6,1
"36","9",0.183880793516242,7,1
"37","6",0.21364001446778,7,1
"38","17",-0.0055706841782564,7,1
"39","22",0.16228625681392,7,1
"44","8",0.222922984575856,7,1
"45","14",0.0356267516308741,7,1
"46","20",0.140220592328343,7,1
"81","7",0.203166050795877,7,1
"83","12",0.420383784755202,7,1
"85","8",0.259392940202178,7,1
"86","7",0.325180536293933,7,1
"36","9",0.322119017846741,8,1
"37","6",0.479490287351096,8,1
"38","17",-0.136218148836406,8,1
"39","22",0.359055045189826,8,1
"44","8",0.309547111815253,8,1
"45","14",0.358140651660638,8,1
"46","20",0.267646310109538,8,1
"81","7",0.207556983756058,8,1
"83","12",0.286328731378106,8,1
"85","8",0.384820187934838,8,1
"86","7",0.154222212773516,8,1
"36","9",0.280889371638703,9,1
"37","6",0.121534469095669,9,1
"38","17",0.18627847569325,9,1
"39","22",0.291675879950705,9,1
"44","8",0.139865591577036,9,1
"45","14",0.166028185700592,9,1
"46","20",0.242809230924181,9,1
"81","7",0.257020915700629,9,1
"83","12",0.330605771950514,9,1
"85","8",0.231267887013076,9,1
"86","7",0.252861458754583,9,1
"36","9",0.425852701515281,10,1
"37","6",0.106874659400092,10,1
"38","17",0.0427202196117279,10,1
"39","22",0.171407093064572,10,1
"44","8",0.101631939924387,10,1
"45","14",0.290161360844502,10,1
"46","20",0.400929997324016,10,1
"81","7",0.199669943271524,10,1
"83","12",0.335974340446123,10,1
"85","8",0.291671022071571,10,1
"86","7",0.152187384104599,10,1
"36","9",0.252208504966675,11,1
"37","6",0.0207362369588966,11,1
"38","17",-0.00606650629888428,11,1
"39","22",0.30260665870699,11,1
"44","8",0.301074208141735,11,1
"45","14",0.477162336810261,11,1
"46","20",0.393366830044021,11,1
"81","7",0.32324867244685,11,1
"83","12",0.444508848628882,11,1
"85","8",0.132226803580525,11,1
"86","7",0.203566147395348,11,1
"36","9",0.334359845519883,12,1
"37","6",0.191546380227711,12,1
"38","17",0.0755791494226333,12,1
"39","22",0.330729628671083,12,1
"44","8",0.237110084616624,12,1
"45","14",0.263309216845248,12,1
"46","20",0.157006545647234,12,1
"81","7",0.0513196081403034,12,1
"83","12",0.261234015695623,12,1
"85","8",0.20706611659415,12,1
"86","7",0.121009164998072,12,1
"36","9",0.20978111066761,1,2
"37","6",-0.213592608303519,1,2
"38","17",-0.0298532130472532,1,2
"39","22",0.383397248024931,1,2
"44","8",0.258932478239851,1,2
