"cohort","day","sttc","focalrank","timewindow"
"36","9",0.337558722290751,1,1
"37","6",-0.18125453566292,1,1
"38","17",0.0526316849852798,1,1
"39","22",0.428247891535357,1,1
"44","8",0.462304312654696,1,1
"45","14",0.2496337669088,1,1
"46","20",0.194398607350327,1,1
"81","7",0.212346120370652,1,1
"83","12",0.269130962981576,1,1
"85","8",0.149771697557814,1,1
"86","7",0.0417378025517495,1,1
"36","9",0.243673544814821,2,1
"37","6",0.0478734075368369,2,1
"38","17",-0.33243771035,2,1
"39","22",0.364284151477819,2,1
"44","8",0.311682567459595,2,1
"45","14",0.196108022497452,2,1
"46","20",0.0725157404928936,2,1
"81","7",-0.166409172633456,2,1
"83","12",0.270006788677183,2,1
"85","8",-0.232687134086705,2,1
"86","7",0.0679969623344169,2,1
"36","9",0.33627172033393,3,1
"37","6",0.255565265709498,3,1
"38","17",-0.194366521751079,3,1
"39","22",0.342805598148756,3,1
"44","8",0.303879785843501,3,1
"45","14",0.217445159636015,3,1
"46","20",0.544480706766986,3,1
"81","7",0.129909618026928,3,1
"83","12",-0.0222751661594292,3,1
"85","8",0.234482644159392,3,1
"86","7",-0.271311009746415,3,1
"36","9",0.398694915118858,4,1
"37","6",0.163141199597455,4,1
"38","17",-0.0108012896512088,4,1
"39","22",0.222920462744745,4,1
"44","8",0.468277449233065,4,1
"45","14",0.168926240243493,4,1
"46","20",0.1512959940816,4,1
"81","7",0.24267594110128,4,1
"83","12",0.468775190711142,4,1
"85","8",0.0650812643606539,4,1
"86","7",0.433570806444381,4,1
"36","9",0.390638238921933,5,1
"37","6",0.535864543155621,5,1
"38","17",0.463548902982079,5,1
"39","22",0.0382888953205208,5,1
"44","8",0.301486825602702,5,1
"45","14",0.487707628351073,5,1
"46","20",0.166370601990032,5,1
"81","7",0.140824795680971,5,1
"83","12",0.368543085724216,5,1
"85","8",0.00132858206497467,5,1
"86","7",-0.00592914060716971,5,1
"36","9",0.353142906531556,6,1
"37","6",0.381392796756197,6,1
"38","17",-0.263325777258588,6,1
"39","22",0.246820049377064,6,1
"44","8",0.464725341403018,6,1
"45","14",0.206720936297258,6,1
"46","20",0.363340688919828,6,1
"81","7",0.26517699798347,6,1
"83","12",0.417522317748332,6,1
"85","8",0.300098539287717,6,1
"86","7",0.376162094067644,6,1
"36","9",0.242050642289088,7,1
"37","6",0.227822452830677,7,1
"38","17",-0.0132683067181494,7,1
"39","22",0.310466944612343,7,1
"44","8",0.511733936022222,7,1
"45","14",0.128322603834132,7,1
"46","20",0.227888354604226,7,1
"81","7",0.279180306966283,7,1
"83","12",0.556607921878814,7,1
"85","8",0.280752572445772,7,1
"86","7",0.444454103444592,7,1
"36","9",0.358454250174257,8,1
"37","6",0.44347842872135,8,1
"38","17",-0.198445139519079,8,1
"39","22",0.460871217763819,8,1
"44","8",0.432557235454764,8,1
"45","14",0.223477769723362,8,1
"46","20",0.213562534740767,8,1
"81","7",0.195751916695143,8,1
"83","12",0.376662019188302,8,1
"85","8",0.429789033915815,8,1
"86","7",0.340265881176599,8,1
"36","9",0.356286070911702,9,1
"37","6",0.134038829894403,9,1
"38","17",0.110606909623249,9,1
"39","22",0.3551600313337,9,1
"44","8",0.320806916915498,9,1
"45","14",0.294769895765242,9,1
"46","20",0.302432333112057,9,1
"81","7",0.288203408762427,9,1
"83","12",0.403021104739615,9,1
"85","8",0.233995963952149,9,1
"86","7",0.0995820616719193,9,1
"36","9",0.42109816790282,10,1
"37","6",0.185855180460537,10,1
"38","17",-0.0559294770182206,10,1
"39","22",0.312233244581982,10,1
"44","8",0.400147549273978,10,1
"45","14",0.228969498895999,10,1
"46","20",0.299048356236998,10,1
"81","7",0.271795185377146,10,1
"83","12",0.357017719015002,10,1
"85","8",0.296220488298668,10,1
"86","7",0.226074812431803,10,1
"36","9",0.395011927760215,11,1
"37","6",0.17411276610853,11,1
"38","17",-0.104644313687142,11,1
"39","22",0.407008152418249,11,1
"44","8",0.302859251902538,11,1
"45","14",0.544504892636062,11,1
"46","20",0.466256077913982,11,1
"81","7",0.481360476717414,11,1
"83","12",0.472857655149933,11,1
"85","8",0.23588368833377,11,1
"86","7",0.12699649781127,11,1
"36","9",0.420358108987387,12,1
"37","6",0.2648376458429,12,1
"38","17",0.108298865886227,12,1
"39","22",0.155665733675,12,1
"44","8",0.480280398365911,12,1
"45","14",0.468011710844537,12,1
"46","20",0.166545160528979,12,1
"81","7",-0.0834631920522358,12,1
"83","12",0.302730142327313,12,1
"85","8",0.23569536808582,12,1
"86","7",0.400727033120249,12,1
"36","9",0.374382558212064,1,2
"37","6",-0.18986039495285,1,2
"38","17",0.0529290497527246,1,2
"39","22",0.492782203603425,1,2
"44","8",0.514284540951677,1,2
"45","14",0.292102850388684,1,2
"46","20",0.159613549687309,1,2
"81","7",0.304621603186536,1,2
"83","12",0.30724937191386,1,2
"85","8",0.149787181732566,1,2
"86","7",0.0268728937660376,1,2
"36","9",0.333777385055711,2,2
"37","6",-0.0170221308443348,2,2
"38","17",-0.388731141259409,2,2
"39","22",0.373583861497906,2,2
"44","8",0.303768860805044,2,2
"45","14",0.223973858201261,2,2
"46","20",0.0420838167738902,2,2
"81","7",-0.167135034672572,2,2
"83","12",0.28800310270034,2,2
"85","8",-0.261466870825311,2,2
"86","7",0.0377992902359324,2,2
"36","9",0.366992722628462,3,2
"37","6",0.261045274209156,3,2
"38","17",-0.228199874152593,3,2
"39","22",0.368051371871401,3,2
"44","8",0.325544066926718,3,2
"45","14",0.268007917621977,3,2
"46","20",0.585037487473313,3,2
"81","7",0.12589887350719,3,2
