"cohort","day","sttc","focalrank","timewindow"
"36","9",0.806165130216211,1,1
"37","6",0.39574323565737,1,1
"38","17",0.571196242548334,1,1
"39","22",0.832392163093728,1,1
"44","8",0.799252615015236,1,1
"45","14",0.768883787103403,1,1
"46","20",0.63116717460795,1,1
"81","7",0.68007751937288,1,1
"83","12",0.750529267459685,1,1
"85","8",0.631926780858252,1,1
"86","7",0.565801273566642,1,1
"36","9",0.762365397825177,2,1
"37","6",0.539173139994265,2,1
"38","17",0.135640183569667,2,1
"39","22",0.776799065756522,2,1
"44","8",0.690507318593464,2,1
"45","14",0.686145070776579,2,1
"46","20",0.58350882505697,2,1
"81","7",0.478503838067804,2,1
"83","12",0.788310321662993,2,1
"85","8",0.2616934058672,2,1
"86","7",0.651295445380648,2,1
"36","9",0.827128723405484,3,1
"37","6",0.760611306380438,3,1
"38","17",0.331496655621489,3,1
"39","22",0.753039923669536,3,1
"44","8",0.719599269733814,3,1
"45","14",0.708915322585182,3,1
"46","20",0.923532960074652,3,1
"81","7",0.60423538661788,3,1
"83","12",0.568421734027414,3,1
"85","8",0.733667205058837,3,1
"86","7",0.328256971801884,3,1
"36","9",0.848283300377494,4,1
"37","6",0.660048401534786,4,1
"38","17",0.513198982033796,4,1
"39","22",0.709137440114927,4,1
"44","8",0.820884073814806,4,1
"45","14",0.681273517648464,4,1
"46","20",0.645062884419985,4,1
"81","7",0.765169300600234,4,1
"83","12",0.844678640707462,4,1
"85","8",0.609276662774602,4,1
"86","7",0.849997241410636,4,1
"36","9",0.804635147018112,5,1
"37","6",0.867492475780175,5,1
"38","17",0.807539381086497,5,1
"39","22",0.570779768512772,5,1
"44","8",0.741570697171521,5,1
"45","14",0.870010182348656,5,1
"46","20",0.734509784522493,5,1
"81","7",0.64677820599091,5,1
"83","12",0.776940496853061,5,1
"85","8",0.524334033526005,5,1
"86","7",0.556540003982647,5,1
"36","9",0.869590158013201,6,1
"37","6",0.789318602450547,6,1
"38","17",0.343481281316745,6,1
"39","22",0.715174140648293,6,1
"44","8",0.766518537054197,6,1
"45","14",0.704177362262534,6,1
"46","20",0.77747008528997,6,1
"81","7",0.74490350089951,6,1
"83","12",0.855709912093177,6,1
"85","8",0.745243371909215,6,1
"86","7",0.780208323915698,6,1
"36","9",0.720262961647443,7,1
"37","6",0.710579092111391,7,1
"38","17",0.595063002382008,7,1
"39","22",0.78203012109511,7,1
"44","8",0.854356403552579,7,1
"45","14",0.57037085839036,7,1
"46","20",0.653672132837965,7,1
"81","7",0.740648432057883,7,1
"83","12",0.893248970887631,7,1
"85","8",0.745882349780101,7,1
"86","7",0.902020075256282,7,1
"36","9",0.794266643456093,8,1
"37","6",0.82612991765273,8,1
"38","17",0.339406197602555,8,1
"39","22",0.844921879996967,8,1
"44","8",0.809679204173127,8,1
"45","14",0.760388632715195,8,1
"46","20",0.632413067922945,8,1
"81","7",0.709628694418935,8,1
"83","12",0.773109649541344,8,1
"85","8",0.81996457109571,8,1
"86","7",0.736758201437026,8,1
"36","9",0.810096972830879,9,1
"37","6",0.67381384539324,9,1
"38","17",0.652304387487862,9,1
"39","22",0.800351649026857,9,1
"44","8",0.750166307874985,9,1
"45","14",0.812672487646081,9,1
"46","20",0.807704752401917,9,1
"81","7",0.831983433729252,9,1
"83","12",0.825016916658783,9,1
"85","8",0.608055395177543,9,1
"86","7",0.589925545156948,9,1
"36","9",0.841279642592765,10,1
"37","6",0.711395416648898,10,1
"38","17",0.463973734462241,10,1
"39","22",0.764512812147326,10,1
"44","8",0.745843333391802,10,1
"45","14",0.791130265380659,10,1
"46","20",0.803506099173638,10,1
"81","7",0.787254690900567,10,1
"83","12",0.790889528556815,10,1
"85","8",0.775827768668657,10,1
"86","7",0.71826718649175,10,1
"36","9",0.794714888743403,11,1
"37","6",0.724359504107486,11,1
"38","17",0.409966067656522,11,1
"39","22",0.852903067272559,11,1
"44","8",0.712839244933329,11,1
"45","14",0.870242926821748,11,1
"46","20",0.861570493352622,11,1
"81","7",0.921202567103232,11,1
"83","12",0.862772042232763,11,1
"85","8",0.655129136532612,11,1
"86","7",0.723714900419511,11,1
"36","9",0.84339171463323,12,1
"37","6",0.7155927122837,12,1
"38","17",0.565304552938327,12,1
"39","22",0.719281210691237,12,1
"44","8",0.861349452146797,12,1
"45","14",0.800667571992192,12,1
"46","20",0.64401038461127,12,1
"81","7",0.564142276849527,12,1
"83","12",0.784976326504646,12,1
"85","8",0.815028320668633,12,1
"86","7",0.928171640417996,12,1
"36","9",0.791471490686515,1,2
"37","6",0.32242906952251,1,2
"38","17",0.518673211079055,1,2
"39","22",0.837166036603781,1,2
"44","8",0.789083145748466,1,2
"45","14",0.754829789616949,1,2
"46","20",0.571577807454079,1,2
"81","7",0.688716580474448,1,2
"83","12",0.746975344349796,1,2
"85","8",0.604822798302914,1,2
"86","7",0.492355979154344,1,2
"36","9",0.739074566811604,2,2
"37","6",0.43479590036124,2,2
"38","17",0.0529088846213359,2,2
"39","22",0.7628500513006,2,2
"44","8",0.65401194598069,2,2
"45","14",0.679895456940537,2,2
"46","20",0.506704584023846,2,2
"81","7",0.449992795003445,2,2
"83","12",0.771129680556185,2,2
"85","8",0.208472717556453,2,2
"86","7",0.570257186666098,2,2
"36","9",0.810959156887054,3,2
"37","6",0.745273555188106,3,2
"38","17",0.281110370258303,3,2
"39","22",0.732305828460884,3,2
"44","8",0.697156537766966,3,2
"45","14",0.702435817214584,3,2
"46","20",0.91163255117324,3,2
"81","7",0.556117625297577,3,2
"83","12",0.545345991448265,3,2
"85","8",0.723923059255656,3,2
"86","7",0.236920298191736,3,2
"36","9",0.827139572764138,4,2
"37","6",0.572428576321881,4,2
"38","17",0.384462506714062,4,2
