"cohort","day","sttc","focalrank","timewindow"
"36","9",0.810945427610025,1,1
"37","6",0.400953567915686,1,1
"38","17",0.577500645722023,1,1
"39","22",0.835786504443179,1,1
"44","8",0.82399494220722,1,1
"45","14",0.761859300565942,1,1
"46","20",0.624193058355758,1,1
"81","7",0.690504983934258,1,1
"83","12",0.749342583044842,1,1
"85","8",0.628983107438427,1,1
"86","7",0.580346435140367,1,1
"36","9",0.745942691345133,2,1
"37","6",0.556852456880229,2,1
"38","17",0.132347152685849,2,1
"39","22",0.782860563947279,2,1
"44","8",0.718128392447053,2,1
"45","14",0.69073565070305,2,1
"46","20",0.569563138960055,2,1
"81","7",0.446165157333073,2,1
"83","12",0.787169756820504,2,1
"85","8",0.355087198120003,2,1
"86","7",0.642378047658947,2,1
"36","9",0.821239548148103,3,1
"37","6",0.761250214403641,3,1
"38","17",0.357829445652146,3,1
"39","22",0.755393868923374,3,1
"44","8",0.727194527567496,3,1
"45","14",0.722532139687795,3,1
"46","20",0.902846344166615,3,1
"81","7",0.654554796036843,3,1
"83","12",0.566101786499271,3,1
"85","8",0.679126761230514,3,1
"86","7",0.334022382441926,3,1
"36","9",0.920868882956413,4,1
"37","6",0.679000988763148,4,1
"38","17",0.514569079022384,4,1
"39","22",0.717754774533881,4,1
"44","8",0.835423835767265,4,1
"45","14",0.709795662836573,4,1
"46","20",0.619986802137668,4,1
"81","7",0.761449445130351,4,1
"83","12",0.844010474439258,4,1
"85","8",0.607881410324071,4,1
"86","7",0.85295760952105,4,1
"36","9",0.808647107704763,5,1
"37","6",0.846814179207087,5,1
"38","17",0.868044709277204,5,1
"39","22",0.629997477493395,5,1
"44","8",0.732970937387877,5,1
"45","14",0.860916345938827,5,1
"46","20",0.741094666215816,5,1
"81","7",0.70775910438236,5,1
"83","12",0.772994340198791,5,1
"85","8",0.571901259739342,5,1
"86","7",0.527217890454864,5,1
"36","9",0.850806602721764,6,1
"37","6",0.808766921697023,6,1
"38","17",0.362801692180687,6,1
"39","22",0.733887767218586,6,1
"44","8",0.816859595786733,6,1
"45","14",0.743068978768804,6,1
"46","20",0.742923632960999,6,1
"81","7",0.780705592635214,6,1
"83","12",0.853603472929097,6,1
"85","8",0.735241147220322,6,1
"86","7",0.842467392988049,6,1
"36","9",0.706295569143986,7,1
"37","6",0.727084196038317,7,1
"38","17",0.553849186011134,7,1
"39","22",0.786872663905027,7,1
"44","8",0.853410982549028,7,1
"45","14",0.668956136645845,7,1
"46","20",0.649888468796629,7,1
"81","7",0.746265458958982,7,1
"83","12",0.889878382092331,7,1
"85","8",0.766762653202344,7,1
"86","7",0.873785735150237,7,1
"36","9",0.808531711599936,8,1
"37","6",0.872776064857626,8,1
"38","17",0.22166579143874,8,1
"39","22",0.864592232281357,8,1
"44","8",0.840492890819035,8,1
"45","14",0.740649467104759,8,1
"46","20",0.678703468508253,8,1
"81","7",0.725012481188333,8,1
"83","12",0.770021120867611,8,1
"85","8",0.802726773236692,8,1
"86","7",0.818793394926954,8,1
"36","9",0.820765598233062,9,1
"37","6",0.529708514122228,9,1
"38","17",0.615502053697177,9,1
"39","22",0.799084144264126,9,1
"44","8",0.743292658484331,9,1
"45","14",0.800980573731922,9,1
"46","20",0.777449143116497,9,1
"81","7",0.820092321189717,9,1
"83","12",0.823168682847258,9,1
"85","8",0.663215566653741,9,1
"86","7",0.636630916051109,9,1
"36","9",0.823826134876846,10,1
"37","6",0.70881551765505,10,1
"38","17",0.491764547935155,10,1
"39","22",0.791551490991515,10,1
"44","8",0.746553536058784,10,1
"45","14",0.799918478100122,10,1
"46","20",0.775286619504114,10,1
"81","7",0.774706215938796,10,1
"83","12",0.816494155502721,10,1
"85","8",0.778083411118173,10,1
"86","7",0.719384783091619,10,1
"36","9",0.821979729811346,11,1
"37","6",0.721495295914931,11,1
"38","17",0.439437748006089,11,1
"39","22",0.8664602390266,11,1
"44","8",0.736511513524957,11,1
"45","14",0.881933894641059,11,1
"46","20",0.889800908671075,11,1
"81","7",0.921136349768581,11,1
"83","12",0.860092849788279,11,1
"85","8",0.697228877732585,11,1
"86","7",0.724999328618938,11,1
"36","9",0.836388852281608,12,1
"37","6",0.752746236823683,12,1
"38","17",0.59296847901301,12,1
"39","22",0.721047469436049,12,1
"44","8",0.85545361280041,12,1
"45","14",0.891920167042995,12,1
"46","20",0.610295059452517,12,1
"81","7",0.504488440743313,12,1
"83","12",0.772501836381147,12,1
"85","8",0.760511552808969,12,1
"86","7",0.910760234845603,12,1
"36","9",0.795776497472873,1,2
"37","6",0.32738385211226,1,2
"38","17",0.524149131017075,1,2
"39","22",0.839610826288855,1,2
"44","8",0.811967250305197,1,2
"45","14",0.748265440417155,1,2
"46","20",0.562509755614434,1,2
"81","7",0.698137200377642,1,2
"83","12",0.746517696932729,1,2
"85","8",0.602610655061986,1,2
"86","7",0.505987540255415,1,2
"36","9",0.72428554443076,2,2
"37","6",0.451821619633141,2,2
"38","17",0.0495176519311333,2,2
"39","22",0.768218208522865,2,2
"44","8",0.680577052384978,2,2
"45","14",0.68461829929408,2,2
"46","20",0.493889589676984,2,2
"81","7",0.419454555097257,2,2
"83","12",0.770283486465922,2,2
"85","8",0.300386233900827,2,2
"86","7",0.561504850881147,2,2
"36","9",0.805523991886381,3,2
"37","6",0.745853625755668,3,2
"38","17",0.306909755973501,3,2
"39","22",0.73392955621926,3,2
"44","8",0.704307793821881,3,2
"45","14",0.715010376246569,3,2
"46","20",0.892080822403403,3,2
"81","7",0.604039048094984,3,2
"83","12",0.543587688407433,3,2
"85","8",0.670557950255953,3,2
"86","7",0.241788548428781,3,2
"36","9",0.897774088806757,4,2
"37","6",0.590920680799549,4,2
"38","17",0.385741784728759,4,2
"39","22",0.637030588232628,4,2
"44","8",0.817738689178831,4,2
"45","14",0.683654261025982,4,2
"46","20",0.555958377153371,4,2
"81","7",0.706747977422271,4,2
"83","12",0.849624285159715,4,2
"85","8",0.574727924323001,4,2
"86","7",0.826246190306015,4,2
"36","9",0.811529765624891,5,2
"37","6",0.852583606246961,5,2
"38","17",0.882590795299983,5,2
"39","22",0.551038289459902,5,2
"44","8",0.718986282289019,5,2
"45","14",0.852754840205221,5,2
"46","20",0.69409805137667,5,2
"81","7",0.655155209401247,5,2
"83","12",0.754091065761269,5,2
"85","8",0.549645965127106,5,2
"86","7",0.46118202202155,5,2
"36","9",0.859944059990387,6,2
"37","6",0.783994770082032,6,2
"38","17",0.303160109866113,6,2
"39","22",0.702937150417334,6,2
"44","8",0.813277704552155,6,2
"45","14",0.74729519567831,6,2
"46","20",0.685358996398879,6,2
"81","7",0.799460315734631,6,2
"83","12",0.856905450471437,6,2
"85","8",0.713554714019813,6,2
"86","7",0.813181406925528,6,2
"36","9",0.666409583543894,7,2
"37","6",0.67278260595579,7,2
"38","17",0.521752566870964,7,2
"39","22",0.774164137791287,7,2
"44","8",0.840034680489977,7,2
"45","14",0.650360348676181,7,2
"46","20",0.592786902879143,7,2
"81","7",0.770773545454221,7,2
"83","12",0.88928972706615,7,2
"85","8",0.738543273257018,7,2
"86","7",0.865743448048725,7,2
"36","9",0.79256170630318,8,2
"37","6",0.881173689331534,8,2
"38","17",0.125112773654667,8,2
"39","22",0.850624483716222,8,2
"44","8",0.809746051572799,8,2
"45","14",0.741269477685475,8,2
"46","20",0.575316616376104,8,2
"81","7",0.673378014469477,8,2
"83","12",0.748790516736571,8,2
"85","8",0.822460692936773,8,2
"86","7",0.854144226472623,8,2
"36","9",0.820550249419182,9,2
"37","6",0.430340241773258,9,2
"38","17",0.534897028780942,9,2
"39","22",0.786655634623342,9,2
"44","8",0.715710342455483,9,2
"45","14",0.796270083113204,9,2
"46","20",0.726820019855422,9,2
"81","7",0.879016406095112,9,2
"83","12",0.784410613272427,9,2
"85","8",0.620928415409534,9,2
"86","7",0.561784951255428,9,2
"36","9",0.813986360443809,10,2
"37","6",0.633553366621722,10,2
"38","17",0.375798565470066,10,2
"39","22",0.768653434011983,10,2
"44","8",0.724481774414433,10,2
"45","14",0.777540782207791,10,2
"46","20",0.702330908605797,10,2
"81","7",0.728941252929371,10,2
"83","12",0.830857530561776,10,2
"85","8",0.758491243752754,10,2
"86","7",0.642810728509868,10,2
"36","9",0.787515341463667,11,2
"37","6",0.691023989873697,11,2
"38","17",0.310037356027654,11,2
"39","22",0.882547397072692,11,2
"44","8",0.705989122766202,11,2
"45","14",0.890578789616898,11,2
"46","20",0.901630143626113,11,2
"81","7",0.921524110664138,11,2
"83","12",0.840812928934986,11,2
"85","8",0.666858148361468,11,2
"86","7",0.718658741953645,11,2
"36","9",0.856781231625865,12,2
"37","6",0.676150158517764,12,2
"38","17",0.504839476126044,12,2
"39","22",0.689280294203802,12,2
"44","8",0.824015433406847,12,2
"45","14",0.919746373293457,12,2
"46","20",0.523801137053127,12,2
"81","7",0.430790831026428,12,2
"83","12",0.741373050306116,12,2
"85","8",0.753977441712165,12,2
"86","7",0.930416782771387,12,2
"36","9",0.824193091988695,1,3
"37","6",0.282730204130125,1,3
"38","17",0.574116542465285,1,3
"39","22",0.859285744541802,1,3
"44","8",0.799752096696402,1,3
"45","14",0.755181350059405,1,3
"46","20",0.52822714517462,1,3
"81","7",0.718412704594516,1,3
"83","12",0.742089996735458,1,3
"85","8",0.569879778961043,1,3
"86","7",0.459785381839818,1,3
"36","9",0.719791849179512,2,3
"37","6",0.385222520796371,2,3
"38","17",0.0262295837187676,2,3
"39","22",0.771273177884027,2,3
"44","8",0.692530256755773,2,3
"45","14",0.681323828464183,2,3
"46","20",0.479685186331089,2,3
"81","7",0.428132513721598,2,3
"83","12",0.776338440806469,2,3
"85","8",0.25718627852169,2,3
"86","7",0.51493693984866,2,3
"36","9",0.792077228026899,3,3
"37","6",0.69283807308857,3,3
"38","17",0.264414932272882,3,3
"39","22",0.732331521898701,3,3
"44","8",0.703435876461995,3,3
"45","14",0.712642442418388,3,3
"46","20",0.88819655290185,3,3
"81","7",0.581576681065004,3,3
"83","12",0.575652241395201,3,3
"85","8",0.697971260653598,3,3
"86","7",0.198874648973507,3,3
"36","9",0.881837444015119,4,3
"37","6",0.548533862541342,4,3
"38","17",0.333144579945057,4,3
"39","22",0.590494859373052,4,3
"44","8",0.822366117800694,4,3
"45","14",0.699447021976781,4,3
"46","20",0.545887630828019,4,3
"81","7",0.683177720956527,4,3
"83","12",0.858864808154247,4,3
"85","8",0.562714274253228,4,3
"86","7",0.846623077138666,4,3
"36","9",0.796939462410876,5,3
"37","6",0.848788373334158,5,3
"38","17",0.903249514410205,5,3
"39","22",0.51442688894561,5,3
"44","8",0.712548336279843,5,3
"45","14",0.8665396459442,5,3
