"cohort","day","timewindow","sttc"
36,9,"1",0.101363957690773
37,6,"1",-0.0681225791702775
38,17,"1",-0.11901868302204
39,22,"1",0.190548628892805
44,8,"1",0.12864599913054
45,14,"1",0.156848139359086
46,20,"1",0.262671631844746
81,7,"1",-0.0703118630419254
83,12,"1",0.0591354656357964
85,8,"1",-0.105337125392361
86,7,"1",-0.0819199138304743
36,9,"2",0.148947279387134
37,6,"2",-0.0932130609719921
38,17,"2",-0.15144978193093
39,22,"2",0.196011810144118
44,8,"2",0.166747312051492
45,14,"2",0.166818838355338
46,20,"2",0.264062835571312
81,7,"2",-0.0998960316649745
83,12,"2",0.104733177261375
85,8,"2",-0.109034072502306
86,7,"2",-0.0846829008367814
36,9,"3",0.225843534455975
37,6,"3",-0.10167504523038
38,17,"3",-0.154351401999633
39,22,"3",0.206557118597693
44,8,"3",0.213628268486894
45,14,"3",0.209115965648308
46,20,"3",0.271843787846891
81,7,"3",-0.100810371933267
83,12,"3",0.155463470045257
85,8,"3",-0.117724902954116
86,7,"3",-0.0692047327367308
36,9,"4",0.314469651828485
37,6,"4",-0.110671982052974
38,17,"4",-0.166349234415412
39,22,"4",0.2440006001928
44,8,"4",0.256169394291786
45,14,"4",0.218216258792961
46,20,"4",0.302071706769309
81,7,"4",-0.10128249965522
83,12,"4",0.188619429700159
85,8,"4",-0.1195629774743
86,7,"4",-0.0815135048089742
36,9,"5",0.361898296699886
37,6,"5",-0.112525284495222
38,17,"5",-0.16625916472971
39,22,"5",0.249361973059267
44,8,"5",0.271727780863113
45,14,"5",0.224370014402285
46,20,"5",0.312733543268166
81,7,"5",-0.103147792581179
83,12,"5",0.210958324795443
85,8,"5",-0.118749127453878
86,7,"5",-0.0861314927355712
