realtime,subject,side,cohort,day
18,M5,left,37,1
19,M5,left,37,1
27,M6,left,37,1
28,M6,left,37,1
30,M5,left,37,1
32,M5,left,37,1
32,M5,right,37,1
39,M9,left,37,1
40,M9,left,37,1
40,M10,right,37,1
41,M9,left,37,1
41,M10,right,37,1
42,M10,right,37,1
42,M5,right,37,1
43,M5,left,37,1
43,M10,right,37,1
44,M4,left,37,1
45,M4,left,37,1
46,M10,left,37,1
46,M6,right,37,1
46,M9,right,37,1
47,M10,left,37,1
49,M8,left,37,1
50,M8,right,37,1
51,M4,right,37,1
52,M11,left,37,1
52,M10,right,37,1
52,M4,right,37,1
53,M1,left,37,1
53,M11,left,37,1
53,M10,right,37,1
54,M1,left,37,1
54,M9,right,37,1
55,M11,right,37,1
56,M6,left,37,1
56,M1,left,37,1
57,M1,left,37,1
57,M6,left,37,1
57,M10,right,37,1
57,M4,right,37,1
58,M11,right,37,1
58,M4,right,37,1
58,M10,right,37,1
59,M11,right,37,1
61,M2,left,37,1
61,M10,right,37,1
62,M2,left,37,1
62,M9,left,37,1
62,M5,right,37,1
62,M8,right,37,1
63,M9,left,37,1
63,M8,right,37,1
64,M2,left,37,1
64,M8,right,37,1
65,M2,left,37,1
65,M5,right,37,1
66,M2,left,37,1
66,M9,right,37,1
66,M10,right,37,1
67,M2,left,37,1
67,M4,left,37,1
67,M5,left,37,1
67,M12,right,37,1
67,M10,right,37,1
68,M11,left,37,1
68,M2,left,37,1
68,M5,left,37,1
68,M12,right,37,1
70,M1,left,37,1
70,M10,right,37,1
70,M3,right,37,1
71,M1,left,37,1
71,M11,left,37,1
71,M3,right,37,1
71,M1,right,37,1
71,M7,right,37,1
72,M11,left,37,1
72,M3,right,37,1
72,M2,right,37,1
72,M7,right,37,1
73,M3,right,37,1
73,M7,right,37,1
73,M2,right,37,1
74,M2,left,37,1
74,M4,left,37,1
74,M7,right,37,1
74,M2,right,37,1
75,M10,left,37,1
75,M1,left,37,1
75,M12,left,37,1
75,M4,left,37,1
76,M3,left,37,1
76,M2,left,37,1
76,M10,left,37,1
76,M1,left,37,1
77,M7,left,37,1
77,M12,left,37,1
77,M2,left,37,1
78,M8,right,37,1
79,M8,right,37,1
80,M12,left,37,1
80,M4,left,37,1
80,M3,right,37,1
81,M12,left,37,1
81,M8,left,37,1
82,M7,left,37,1
82,M9,left,37,1
82,M11,left,37,1
82,M8,left,37,1
83,M9,left,37,1
83,M2,right,37,1
84,M8,left,37,1
84,M10,left,37,1
84,M5,left,37,1
84,M9,left,37,1
84,M9,right,37,1
84,M6,right,37,1
85,M3,left,37,1
85,M2,left,37,1
85,M10,left,37,1
85,M6,right,37,1
86,M10,left,37,1
86,M2,right,37,1
86,M3,right,37,1
86,M6,right,37,1
87,M12,left,37,1
87,M2,right,37,1
87,M3,right,37,1
88,M5,left,37,1
88,M2,left,37,1
88,M7,left,37,1
88,M4,left,37,1
88,M12,left,37,1
89,M4,left,37,1
89,M2,right,37,1
89,M3,right,37,1
90,M4,left,37,1
90,M3,right,37,1
91,M10,left,37,1
91,M12,left,37,1
91,M5,right,37,1
91,M4,right,37,1
92,M5,left,37,1
92,M4,right,37,1
92,M10,right,37,1
94,M2,left,37,1
95,M11,left,37,1
95,M10,left,37,1
95,M2,left,37,1
95,M7,right,37,1
96,M8,left,37,1
96,M11,right,37,1
96,M7,right,37,1
97,M9,left,37,1
97,M8,left,37,1
97,M11,right,37,1
98,M7,left,37,1
98,M9,left,37,1
98,M3,right,37,1
99,M5,left,37,1
99,M9,right,37,1
100,M2,left,37,1
100,M3,right,37,1
100,M2,right,37,1
100,M11,right,37,1
101,M2,left,37,1
101,M3,right,37,1
102,M5,left,37,1
102,M6,left,37,1
102,M2,left,37,1
103,M6,left,37,1
103,M11,left,37,1
103,M9,left,37,1
103,M5,left,37,1
103,M6,right,37,1
105,M3,left,37,1
106,M6,left,37,1
106,M7,left,37,1
106,M3,left,37,1
107,M2,right,37,1
108,M12,left,37,1
108,M10,left,37,1
108,M12,right,37,1
108,M2,right,37,1
110,M2,left,37,1
110,M10,left,37,1
110,M3,right,37,1
111,M4,left,37,1
111,M5,left,37,1
111,M10,left,37,1
111,M2,right,37,1
111,M3,right,37,1
112,M10,left,37,1
112,M4,left,37,1
112,M11,left,37,1
112,M2,right,37,1
113,M3,left,37,1
113,M11,left,37,1
