"realtime","subject","side","cohort","day"
0,"M12","left",39,22
1,"M3","left",39,22
5,"M1","left",39,22
6,"M1","left",39,22
6,"M9","left",39,22
6,"M12","left",39,22
7,"M1","left",39,22
7,"M3","left",39,22
7,"M9","left",39,22
7,"M3","right",39,22
8,"M3","right",39,22
8,"M12","right",39,22
9,"M3","left",39,22
9,"M12","left",39,22
10,"M3","left",39,22
10,"M11","left",39,22
10,"M9","right",39,22
11,"M11","left",39,22
11,"M3","right",39,22
12,"M1","left",39,22
12,"M11","left",39,22
13,"M1","left",39,22
13,"M9","left",39,22
14,"M3","left",39,22
15,"M3","left",39,22
16,"M1","left",39,22
16,"M2","left",39,22
16,"M2","right",39,22
17,"M10","left",39,22
17,"M2","right",39,22
17,"M10","right",39,22
18,"M4","left",39,22
18,"M12","left",39,22
18,"M2","right",39,22
19,"M4","left",39,22
19,"M10","left",39,22
19,"M1","right",39,22
20,"M5","left",39,22
20,"M6","right",39,22
21,"M1","left",39,22
21,"M5","left",39,22
22,"M10","right",39,22
23,"M2","left",39,22
23,"M10","left",39,22
24,"M2","left",39,22
25,"M2","left",39,22
25,"M5","left",39,22
26,"M2","left",39,22
26,"M5","left",39,22
26,"M10","left",39,22
26,"M11","left",39,22
27,"M5","left",39,22
27,"M8","left",39,22
27,"M10","left",39,22
27,"M5","right",39,22
28,"M5","left",39,22
28,"M8","left",39,22
29,"M8","left",39,22
29,"M10","left",39,22
30,"M2","left",39,22
30,"M8","left",39,22
30,"M12","left",39,22
30,"M2","right",39,22
31,"M11","left",39,22
31,"M10","right",39,22
32,"M3","left",39,22
32,"M11","left",39,22
32,"M2","right",39,22
32,"M4","right",39,22
33,"M3","left",39,22
33,"M6","left",39,22
33,"M2","right",39,22
33,"M4","right",39,22
34,"M6","left",39,22
34,"M7","left",39,22
34,"M12","left",39,22
35,"M1","left",39,22
35,"M11","left",39,22
35,"M2","right",39,22
35,"M3","right",39,22
35,"M10","right",39,22
36,"M1","left",39,22
36,"M2","right",39,22
36,"M3","right",39,22
36,"M8","right",39,22
36,"M10","right",39,22
37,"M4","left",39,22
37,"M5","left",39,22
37,"M8","left",39,22
37,"M2","right",39,22
37,"M3","right",39,22
37,"M10","right",39,22
37,"M12","right",39,22
38,"M1","left",39,22
38,"M4","left",39,22
38,"M5","left",39,22
38,"M7","left",39,22
38,"M8","left",39,22
38,"M2","right",39,22
38,"M3","right",39,22
38,"M10","right",39,22
39,"M8","left",39,22
39,"M2","right",39,22
39,"M10","right",39,22
40,"M1","left",39,22
40,"M7","left",39,22
40,"M8","left",39,22
40,"M2","right",39,22
40,"M9","right",39,22
40,"M11","right",39,22
41,"M1","left",39,22
41,"M7","left",39,22
41,"M6","right",39,22
41,"M9","right",39,22
41,"M11","right",39,22
42,"M7","left",39,22
42,"M6","right",39,22
42,"M9","right",39,22
42,"M11","right",39,22
43,"M7","left",39,22
43,"M1","right",39,22
43,"M7","right",39,22
43,"M12","right",39,22
44,"M5","left",39,22
44,"M1","right",39,22
44,"M3","right",39,22
44,"M9","right",39,22
44,"M12","right",39,22
45,"M5","left",39,22
45,"M8","left",39,22
45,"M11","right",39,22
46,"M5","left",39,22
46,"M8","left",39,22
46,"M10","right",39,22
47,"M9","left",39,22
47,"M2","right",39,22
47,"M10","right",39,22
48,"M2","left",39,22
48,"M12","left",39,22
48,"M2","right",39,22
49,"M7","left",39,22
50,"M4","left",39,22
50,"M7","left",39,22
50,"M10","left",39,22
50,"M10","right",39,22
51,"M7","left",39,22
51,"M12","left",39,22
52,"M6","left",39,22
52,"M7","left",39,22
52,"M8","left",39,22
52,"M8","right",39,22
53,"M6","left",39,22
53,"M7","left",39,22
53,"M12","left",39,22
53,"M2","right",39,22
54,"M6","left",39,22
54,"M2","right",39,22
55,"M2","right",39,22
56,"M8","right",39,22
57,"M9","left",39,22
58,"M8","left",39,22
58,"M12","left",39,22
59,"M12","left",39,22
60,"M4","left",39,22
60,"M12","left",39,22
62,"M2","right",39,22
64,"M4","left",39,22
65,"M1","left",39,22
65,"M4","left",39,22
65,"M8","left",39,22
66,"M1","left",39,22
66,"M4","left",39,22
67,"M1","left",39,22
67,"M4","left",39,22
67,"M2","right",39,22
67,"M10","right",39,22
68,"M1","left",39,22
68,"M4","left",39,22
68,"M5","left",39,22
68,"M2","right",39,22
68,"M10","right",39,22
69,"M5","left",39,22
69,"M2","right",39,22
69,"M4","right",39,22
69,"M5","right",39,22
69,"M10","right",39,22
70,"M5","right",39,22
70,"M10","right",39,22
71,"M2","right",39,22
72,"M5","left",39,22
72,"M10","right",39,22
73,"M5","right",39,22
74,"M5","right",39,22
75,"M10","left",39,22
76,"M10","right",39,22
77,"M5","left",39,22
78,"M5","left",39,22
78,"M10","left",39,22
79,"M10","right",39,22
84,"M12","right",39,22
86,"M9","left",39,22
87,"M9","left",39,22
91,"M8","left",39,22
92,"M8","left",39,22
97,"M9","left",39,22
100,"M3","right",39,22
100,"M10","right",39,22
101,"M9","left",39,22
101,"M10","left",39,22
101,"M3","right",39,22
101,"M6","right",39,22
102,"M9","left",39,22
102,"M10","left",39,22
103,"M4","left",39,22
103,"M9","left",39,22
103,"M10","left",39,22
103,"M12","left",39,22
104,"M11","left",39,22
104,"M3","right",39,22
104,"M9","right",39,22
104,"M10","right",39,22
105,"M9","left",39,22
105,"M11","left",39,22
105,"M10","right",39,22
106,"M9","left",39,22
106,"M11","left",39,22
106,"M10","right",39,22
107,"M12","left",39,22
107,"M2","right",39,22
107,"M12","right",39,22
108,"M3","left",39,22
108,"M9","left",39,22
108,"M2","right",39,22
108,"M10","right",39,22
108,"M11","right",39,22
109,"M3","left",39,22
109,"M10","left",39,22
109,"M2","right",39,22
109,"M11","right",39,22
110,"M3","left",39,22
110,"M12","left",39,22
110,"M2","right",39,22
111,"M11","right",39,22
114,"M3","left",39,22
114,"M3","right",39,22
114,"M10","right",39,22
115,"M3","right",39,22
115,"M10","right",39,22
116,"M9","left",39,22
116,"M3","right",39,22
116,"M10","right",39,22
117,"M3","left",39,22
117,"M7","left",39,22
117,"M9","left",39,22
117,"M2","right",39,22
118,"M3","left",39,22
118,"M7","left",39,22
118,"M2","right",39,22
119,"M3","left",39,22
119,"M7","left",39,22
119,"M2","right",39,22
120,"M7","left",39,22
120,"M1","right",39,22
120,"M7","right",39,22
121,"M3","left",39,22
121,"M5","left",39,22
121,"M7","left",39,22
121,"M10","left",39,22
121,"M1","right",39,22
121,"M7","right",39,22
122,"M6","left",39,22
122,"M7","left",39,22
122,"M11","left",39,22
122,"M3","right",39,22
